[00:00.000 --> 00:06.880]  A warm welcome.
[07:49.480 --> 07:55.080]  With some inverters the admin account is even linked to the installer personally and he
[07:55.080 --> 08:01.720]  signed with a vendor that he would not pass his own so he is really taking that seriously.
[08:01.720 --> 08:07.840]  And all of that is a fact of successful lobbying in the past.
[08:07.880 --> 08:15.480]  Grid operators, for example, they denied certifications to inverter vendors and if they don't implement
[08:15.480 --> 08:21.680]  this sort of crappy restrictions.
[08:21.680 --> 08:27.520]  And installers are also very much intimidated by grid operators and afraid of losing support
[08:27.520 --> 08:35.120]  or to get sued or whatever, although there is absolutely no contextual relationship from
[08:35.120 --> 08:38.040]  the installer to the grid operator.
[08:38.040 --> 08:44.560]  That only exists with the home owner, the guy to own the device, but he in turn is denied
[08:44.560 --> 08:49.000]  access to that.
[08:49.000 --> 08:52.160]  It's particularly nasty when it comes to battery control.
[08:52.160 --> 08:58.400]  Some greedy energy companies, albeit regulated on that, don't want users to feed the grid
[08:58.400 --> 09:03.840]  from battery and they manage to prevent this from happening that way.
[09:03.840 --> 09:07.120]  Unfortunately, there is still hope.
[09:07.120 --> 09:13.080]  At least in Germany there have been major changes starting this year, but let's see
[09:13.080 --> 09:19.040]  how long it will take for them to apply to the installed base.
[09:19.040 --> 09:25.120]  Another low light along those lines is smart meter usage.
[09:25.120 --> 09:29.640]  Proper energy management requires to meet a consumption, but you have to install your
[09:29.640 --> 09:32.200]  own smart meter.
[09:32.560 --> 09:38.680]  Even though you get an official one installed together with your solar plant, but you effectively
[09:38.680 --> 09:43.480]  cannot access that one's ratings, let alone in real-time.
[09:43.480 --> 09:50.320]  Even with the so-called intelligent meters, those have a gateway because the data of that
[09:50.320 --> 09:54.520]  one is only being sent to the grid operator.
[09:54.520 --> 10:01.440]  That one makes it available in a portal if you're lucky, but you don't get it in real-time.
[10:01.680 --> 10:06.400]  Ultimately, you have to install another meter of your own.
[10:06.400 --> 10:12.200]  That in turn requires you to get an electrician normally, while there's some sensors like
[10:12.200 --> 10:18.720]  a Shelly that you can install yourself, but to many owners, the electric cabinet door
[10:18.720 --> 10:22.960]  is really the line they don't dare to cross.
[10:22.960 --> 10:27.840]  There are complex electric setups out there with multiple inverters, usually from different
[10:27.880 --> 10:34.480]  brands, that we often encounter in upgraded older installations, and I'm not even counting
[10:34.480 --> 10:36.840]  balcony plants.
[10:36.840 --> 10:42.080]  Owners of heat pumps or night storage heater also often make use of dedicated taverns,
[10:42.080 --> 10:45.560]  and those require another meter.
[10:45.560 --> 10:51.880]  Connecting to heat pumps themselves, it's rather simple using the G-Ready interface.
[10:51.880 --> 10:56.960]  That's a two-bit wireline interface to signal cheap power is available.
[10:57.240 --> 11:06.360]  Nonetheless, in reality, only very few HVAC installers set up SGR because to them it's
[11:06.360 --> 11:13.200]  the electrician's job, and that one of course doesn't care to return once the PV is working.
[11:13.200 --> 11:17.200]  Any layman is allowed to set it up himself.
[11:17.200 --> 11:23.800]  It is low voltage, which means you won't risk your life and insurance, but few know
[11:23.800 --> 11:31.800]  it's badly documented, and so most home owners are unaware or afraid of doing it themselves.
[11:31.800 --> 11:34.240]  And devil is in the details.
[11:34.240 --> 11:39.360]  During recent installation of my very own heat pump, they have put wires but didn't connect
[11:39.360 --> 11:44.560]  them on the pump side, so I had to call support and they sent me a picture of where to connect
[11:44.560 --> 11:52.920]  the low voltage wires, and got warned that opening the enclosure alone would expose me
[11:52.920 --> 11:57.440]  to the risk of touching 400 volts DC.
[11:57.440 --> 12:06.320]  So should there not be any FOSSTEM presentation of my next year?
[12:06.320 --> 12:11.880]  There are drawbacks to SG-Ready, but the worst thing about it is that energy management
[12:11.880 --> 12:15.920]  happens inside the inverter, and it is one-on-one only.
[12:15.920 --> 12:22.440]  So cheap power assignment to a heat pump competes and conflicts with all other major consumers
[12:22.440 --> 12:25.640]  such as the EV charger.
[12:25.640 --> 12:30.880]  Device vendors will keep improving their capabilities, but inverters will keep failing to get the
[12:30.880 --> 12:37.720]  comprehensive picture right, and that's needed to coordinate all household devices.
[12:37.720 --> 12:40.760]  There's many competitors to power.
[12:40.760 --> 12:46.120]  Chargers likewise, there's some that already do their own metering to allow for excess
[12:46.120 --> 12:52.880]  only charging, but this also will be short-lived kinks at best.
[12:52.880 --> 13:01.400]  Now with variable tariffs latest coming up, local control like that can even have a negative
[13:01.400 --> 13:09.120]  impact on cost, because cheapest times will be shifting around and will often be at night,
[13:09.120 --> 13:16.920]  and that is right when the existing excess power-based control will result in right the
[13:16.920 --> 13:21.840]  opposite of what it is supposed to accomplish.
[13:21.840 --> 13:27.000]  I'm anxiously waiting to tell my classic grid operator goodbye.
[13:27.000 --> 13:32.520]  I really believe that Tibber is the new Twitter.
[13:32.520 --> 13:38.480]  Final slide, saving on energy and cost is fine and having features such as notifications
[13:38.560 --> 13:43.440]  when the washing is done are a bonus, but they are not enough to get people to change their
[13:43.440 --> 13:47.120]  long-awaited practice of operating household appliances.
[13:47.120 --> 13:51.520]  They would rather stop using a new system than change their habits.
[13:51.520 --> 13:58.800]  So for an energy management system to get accepted, it must not enforce changes to handling.
[13:58.800 --> 14:02.080]  Connecting existing white goods is surprisingly simple.
[14:02.080 --> 14:08.960]  You don't need new smart home connector-like devices, because any washing program of classic
[14:08.960 --> 14:16.240]  white goods devices once started can be interrupted and proceeds when you restore power.
[14:16.240 --> 14:22.880]  So any Shelley or other plug socket switch with metering capabilities will do.
[14:22.880 --> 14:28.240]  Automation is more consequent than any human, and it doesn't get tired of doing the savings
[14:28.240 --> 14:29.800]  math.
[14:29.800 --> 14:35.680]  So you no more have to worry and remember all day long when to start your electric appliance
[14:35.680 --> 14:36.680]  as best.
[14:36.680 --> 14:44.240]  For those to know this type of problem, automation can really get you some peace of mind.
[14:44.240 --> 14:50.480]  So to conclude, deploy your own energy management system, an open source based one of course,
[14:50.480 --> 14:55.520]  and get peace rather than expensive, intelligent devices.
[14:55.520 --> 14:58.720]  Become the sovereign of your energy usage.
[14:58.720 --> 14:59.560]  Thank you for listening.
