[00:00.000 --> 00:08.640]  All right, everyone.
[06:41.960 --> 06:46.400]  So some of these techniques, these interview techniques are from journalism, I used to
[06:46.400 --> 06:50.200]  be a journalist, when you're a journalist you don't really care what your sources think
[06:50.200 --> 06:52.920]  of you, if they think you're an idiot, that's okay.
[06:52.920 --> 06:57.600]  So just to acknowledge, there are some limits, but then again, you know, your users are coming
[06:57.600 --> 07:03.280]  into this, they already respect you, they know your work as a maintainer, they depend
[07:03.280 --> 07:09.120]  and they like your project, so you don't need to show them how awesome you are, they already
[07:09.120 --> 07:11.600]  know that.
[07:11.600 --> 07:18.720]  Okay, so here are the two, like, awkward interview techniques that I want people to take away
[07:18.720 --> 07:19.800]  from this.
[07:19.800 --> 07:24.600]  So one is to strategically deploy awkward silences.
[07:24.600 --> 07:28.920]  The second one is to ask so many follow-up questions you risk looking dumb.
[07:28.920 --> 07:33.040]  But let's talk about the first one, the awkward silences.
[07:33.040 --> 07:41.080]  Okay, so in Western cultures, most cultures, it is a little bit culture-bound, but after
[07:41.080 --> 07:45.960]  a certain amount of time in a conversation, people start to feel like this silence is
[07:45.960 --> 07:47.520]  really awkward.
[07:47.520 --> 07:50.440]  And if you're in a conversation, that's really easy.
[07:50.440 --> 07:54.520]  You just ask the other person another question, boom, problem solved.
[07:54.520 --> 07:58.960]  But if this is an interview and one person is asking questions and the other person is
[07:58.960 --> 08:07.040]  answering them, and the interviewee has finished answering their question and the interviewer
[08:07.040 --> 08:13.560]  doesn't do anything and just sits there and is silent, it's going to make the interviewee
[08:13.560 --> 08:15.240]  start talking again.
[08:15.240 --> 08:21.360]  And what happens is that first answer that you get to the question is like the pre-planned
[08:21.360 --> 08:27.200]  canned answer that they've already sort of mentally vetted to make themselves look good,
[08:27.200 --> 08:32.680]  possibly to make their organization look good, and not reveal anything that's too embarrassing.
[08:32.680 --> 08:33.680]  That's good.
[08:33.680 --> 08:35.080]  I mean, you're going to get some good information there.
[08:35.080 --> 08:41.520]  But if you want to get beyond that, then after that person has finished answering the question,
[08:41.520 --> 08:47.680]  let it sit and let it feel a little bit awkward.
[08:47.680 --> 08:56.800]  And if you can sit with that awkward silence long enough, the interviewee will start talking
[08:56.800 --> 08:57.800]  again.
[08:57.800 --> 09:03.120]  And when he or she starts talking again, that's where you get the information that they haven't
[09:03.120 --> 09:05.200]  really pre-vetted with themselves.
[09:05.200 --> 09:06.600]  They'll start rambling.
[09:06.600 --> 09:13.280]  They'll get the sort of like more emotional, more off-the-cuff answers to questions like
[09:13.280 --> 09:18.600]  why did this matter or why did you want to do that?
[09:18.600 --> 09:22.840]  Even if you were to interview somebody about what they had for breakfast, I can guarantee
[09:22.840 --> 09:27.520]  you that if you just let an awkward silence sit there, they would start rambling on about
[09:27.520 --> 09:32.280]  why they chose whatever they had for breakfast because they feel like they need to fill that
[09:32.280 --> 09:35.960]  awkward silence.
[09:35.960 --> 09:43.880]  So the next thing, the next technique is follow-up questions.
[09:43.880 --> 09:45.600]  Let's use the breakfast example again.
[09:45.600 --> 09:49.200]  If so, you ask somebody, what did you have for breakfast?
[09:49.200 --> 09:53.240]  And they said, I had a croissant.
[09:53.240 --> 09:55.440]  And then you ask them why?
[09:55.440 --> 09:57.480]  Then you're going to start getting some more information.
[09:57.480 --> 10:00.320]  And then maybe they say, that's all that was available.
[10:00.320 --> 10:01.800]  And then you ask them why?
[10:01.800 --> 10:04.400]  And you keep asking why again.
[10:04.400 --> 10:08.720]  This can start to feel a little bit uncomfortable because you're really pressing people to talk
[10:08.720 --> 10:11.920]  about their core motivation.
[10:11.920 --> 10:17.360]  But you're also getting information that is much deeper, much richer.
[10:17.360 --> 10:22.760]  And one of the tricks here and the thing that can honestly make you risk looking like an
[10:22.760 --> 10:26.240]  idiot is that you want to try not to assume anything.
[10:26.240 --> 10:31.760]  And particularly, this can be hard in like a technical situation because there are sometimes
[10:31.760 --> 10:37.280]  when you want to show that you're not an idiot, you know why this was important.
[10:37.280 --> 10:42.400]  When somebody is like, we felt like we had to improve our supply chain security.
[10:42.400 --> 10:44.440]  And you ask why?
[10:44.440 --> 10:47.520]  It's like, well, isn't it obvious why we had to do that?
[10:47.520 --> 10:52.440]  But actually, it's not because why at that moment was that suddenly a priority?
[10:52.440 --> 10:54.720]  Why hadn't you done it before?
[10:54.720 --> 11:00.960]  So keep asking those why questions to try to dive into really understanding what the
[11:00.960 --> 11:04.720]  motivation is and not assuming anything.
[11:04.720 --> 11:12.400]  Even if it seems like it should be self-evident what the answer is, don't make that assumption.
[11:12.400 --> 11:17.600]  All right, so I am going to give you some homework.
[11:17.600 --> 11:20.880]  This homework is really easy.
[11:20.880 --> 11:26.280]  Choose a friend or a colleague and ask them to do an interview with you.
[11:26.280 --> 11:27.280]  It can be about anything.
[11:27.280 --> 11:32.200]  It can be what they did yesterday evening, what they had for breakfast.
[11:32.200 --> 11:39.920]  And I want you to try and see what happens when you don't jump in with a new question
[11:39.920 --> 11:43.200]  and just let that awkward silence hang.
[11:43.200 --> 11:47.480]  The key to doing this is that you have to set the expectations that this is an interview.
[11:47.480 --> 11:51.440]  So the other person is not allowed to ask you a question in return.
[11:51.440 --> 11:56.080]  They're only allowed to answer the questions that you're asking them.
[11:56.080 --> 12:01.040]  And the reason that I actually recommend practicing this is because it is way harder than you
[12:01.040 --> 12:02.040]  expect.
[12:02.040 --> 12:04.760]  It should be really easy, right?
[12:04.760 --> 12:11.040]  You're just sitting there quietly, but it goes against like your whole being to just
[12:11.040 --> 12:16.920]  let that silence sit there for as long as you can possibly stand.
[12:16.920 --> 12:19.960]  And that is why it works, quite honestly.
[12:19.960 --> 12:24.440]  Okay, so that's it.
[12:24.440 --> 12:27.240]  I'm Emily O'Mear.
[12:27.240 --> 12:28.600]  I have a podcast.
[12:28.600 --> 12:30.800]  It's called The Business of Open Source.
[12:30.800 --> 12:32.920]  You can connect with me on my website.
[12:32.920 --> 12:34.600]  You can write me an email.
[12:34.600 --> 12:35.760]  I'm also on LinkedIn.
[12:35.760 --> 12:37.960]  You can send me a message on LinkedIn.
[12:37.960 --> 12:39.880]  You can just search for my name and you will find me.
[12:39.880 --> 12:42.360]  I don't think there's anyone else with my name.
[12:42.360 --> 12:45.280]  Before we wrap up, though, is there anybody who has questions?
[12:45.280 --> 12:46.280]  Yes?
[12:46.280 --> 12:54.960]  Do I need a microphone for this or is it more effective to do this with a microphone or...?
[12:54.960 --> 12:56.440]  Just ask the question and I'll repeat it.
[12:56.440 --> 13:00.040]  Is it more effective to do this with a microphone or...?
[13:00.040 --> 13:06.840]  Oh, is that the question?
[13:06.840 --> 13:09.520]  You mean if you're doing a user interview?
[13:09.520 --> 13:15.200]  I mean, honestly, when I do interviews, I use Zoom, so I just use whatever's on my computer.
[13:15.200 --> 13:18.880]  But no, it doesn't matter.
[13:18.880 --> 13:22.720]  This is a situation where technology just doesn't matter.
[13:22.720 --> 13:26.400]  However you do an interview, it doesn't matter.
[13:26.400 --> 13:30.760]  On the other hand, I will say I understand where the question's coming from because people
[13:30.760 --> 13:34.560]  do behave differently when you put a microphone in front of their face.
[13:34.560 --> 13:41.800]  If anything, no, do not put a microphone in front of people's face because that triggers
[13:41.800 --> 13:48.360]  the self-censor, and what you want is to get rid of the self-censor.
[13:48.360 --> 13:49.360]  Yes?
[13:49.360 --> 13:58.760]  So you said that people shouldn't ask a question of you during this interview, so one way information
[13:58.760 --> 13:59.760]  is...
[13:59.760 --> 14:00.760]  Yep.
[14:00.760 --> 14:07.080]  If they do ask a question, do you stay silent to increase your...
[14:07.080 --> 14:14.040]  So the question is if the interviewee asks you a question, should you just stay silent
[14:14.040 --> 14:17.400]  to increase the awkwardness?
[14:17.400 --> 14:18.720]  That's a really good question.
[14:18.720 --> 14:21.480]  I am not sure.
[14:21.480 --> 14:28.040]  That's actually never happened to me, so I don't really have a good...
[14:28.040 --> 14:34.080]  I think I would go for just answering the question and then asking a follow-up, right?
[14:34.080 --> 14:37.080]  So you're...
[14:37.080 --> 14:40.200]  Yeah, you could do that too.
[14:40.200 --> 14:41.720]  So I think I would just...
[14:41.720 --> 14:43.960]  You want to use the two techniques together anyway.
[14:43.960 --> 14:46.960]  All right, we probably have time for one more question.
[14:46.960 --> 14:47.960]  Yes?
[14:47.960 --> 14:53.280]  Does being awkward ever break the interview or the trust and make it harder to go on?
[14:53.280 --> 14:58.360]  The question is, does being awkward ever break the trust and make it even harder to go on?
[14:58.360 --> 14:59.760]  In my experience, no.
[14:59.760 --> 15:05.680]  I have never had a situation where being awkward broke the interviewee's trust.
[15:05.680 --> 15:07.440]  I don't think so.
[15:07.440 --> 15:09.200]  I mean, there's probably...
[15:09.200 --> 15:10.960]  There is a limit, right?
[15:10.960 --> 15:17.360]  But as long as you're being polite, then I wouldn't worry about that.
[15:17.360 --> 15:24.200]  And if you have any sense of social grace whatsoever, you will probably totally max
[15:24.200 --> 15:30.960]  out on your awkwardness well before you would break someone's trust.
[15:30.960 --> 15:31.960]  All right.
[15:31.960 --> 15:32.960]  Yeah.
[15:32.960 --> 15:33.960]  Okay, we have seven seconds.
[15:33.960 --> 15:34.960]  So thank you so much.
[15:34.960 --> 15:35.960]  Thank you.
[15:35.960 --> 15:36.960]  Thank you.
[15:36.960 --> 15:37.960]  You're welcome.
[15:37.960 --> 15:54.920]  Thank you.
