[00:00.000 --> 00:28.000]  Good morning, everyone.
[11:29.000 --> 11:34.000]  and all these websites were at least once mentioned in the articles,
[11:34.000 --> 11:41.000]  and then all the websites also cite the other one.
[11:41.000 --> 11:47.000]  And here, for example, you can reach the American disinformation network.
[11:47.000 --> 11:53.000]  You've got the Francophone one here and the Canadian one here.
[11:53.000 --> 11:58.000]  So it's very interesting to see where Cactus is in the middle of everything,
[11:58.000 --> 12:01.000]  so I tried to illustrate the graph like this,
[12:01.000 --> 12:08.000]  so it gives you with this three tool a very good idea of the environment of the website.
[12:08.000 --> 12:13.000]  What you can see inside also are some legitimate websites,
[12:13.000 --> 12:16.000]  such as Mediapart, for example, or YouTube, et cetera, et cetera,
[12:16.000 --> 12:22.000]  and that's one of their techniques in order to lead some activity on the website.
[12:22.000 --> 12:28.000]  They link regular websites and also conspiracies websites.
[12:28.000 --> 12:34.000]  It's in order to increase their SEO, their ranking on Google, for example,
[12:34.000 --> 12:39.000]  so it's very important to put legitimate and disinformation websites.
[12:39.000 --> 12:46.000]  So that was the first part of the investigation purely made with the open source software.
[12:46.000 --> 12:51.000]  The second one was the influence, and it's rather usual to do that,
[12:51.000 --> 12:54.000]  so we needed a good scraper for Twitter.
[12:54.000 --> 13:01.000]  Our idea was to have an idea on how the disinformation could escape
[13:01.000 --> 13:06.000]  from their traditional networks, such as Gabe or Parler, for example,
[13:06.000 --> 13:10.000]  and to escape from this platform to go to mainstream platforms.
[13:10.000 --> 13:16.000]  So Twitter used to be a very good platform to analyze.
[13:16.000 --> 13:21.000]  I don't know what's going on, and I don't know what it's going to be within a few days,
[13:21.000 --> 13:23.000]  but Essence Scrape is a cool tool to do that.
[13:23.000 --> 13:25.000]  I don't know if you heard about it.
[13:25.000 --> 13:29.000]  It's a scraper for Twitter.
[13:29.000 --> 13:34.000]  So what we did basically was to extract all the tweets from its creation
[13:34.000 --> 13:39.000]  that had a link referring to cactus.fr, which was the website.
[13:39.000 --> 13:45.000]  We wanted to know about its activity, so you just basically open a terminal
[13:45.000 --> 13:47.000]  and you copy-paste this.
[13:47.000 --> 13:54.000]  I'm not going to export to it first, but what you receive, I hope my connection is okay.
[13:54.000 --> 14:00.000]  Yes, so you get all the tweets, you can grab a cafe, you don't have to scroll,
[14:00.000 --> 14:03.000]  and when you come back, you get all the tweets.
[14:03.000 --> 14:08.000]  So there are approximately 124,000 tweets that talk about it.
[14:08.000 --> 14:10.000]  Once again, it's not nothing.
[14:10.000 --> 14:16.000]  And you can export that as a JSON file.
[14:16.000 --> 14:17.000]  Here.
[14:17.000 --> 14:21.000]  So it's going to work, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah.
[14:21.000 --> 14:24.000]  I'm going to break it right now.
[14:24.000 --> 14:29.000]  Once you have these tweets, you have to scrape them and you have to wrangle your data.
[14:29.000 --> 14:32.000]  And I used another tool called OpenRefine.
[14:32.000 --> 14:35.000]  You probably know about OpenRefine.
[14:35.000 --> 14:37.000]  It's a powerful tool to cleanse.
[14:37.000 --> 14:45.000]  And there is a wow effect for journalists especially with this tool that I like.
[14:45.000 --> 14:49.000]  It's how it deals with JSON file.
[14:49.000 --> 14:53.000]  So this is going to be maybe possible.
[14:53.000 --> 15:01.000]  So you open the text like this and it knows how to render JSON file in CSV,
[15:01.000 --> 15:06.000]  which is a format that we all like when we do data journalism.
[15:06.000 --> 15:10.000]  So you can now analyze all the data that you have.
[15:10.000 --> 15:13.000]  So that's why I love OpenRefine.
[15:13.000 --> 15:16.000]  And also when you want to do some clustering.
[15:16.000 --> 15:19.000]  And the last one was, of course, R anti-diverse.
[15:19.000 --> 15:21.000]  I'm not going to dive into R anti-diverse.
[15:21.000 --> 15:24.000]  You have had several presentations and that.
[15:24.000 --> 15:30.000]  But these tools are really easy because R is an easy language for statistics,
[15:30.000 --> 15:34.000]  easy syntax, very readable when you don't know how to code.
[15:34.000 --> 15:36.000]  And this is really important for newsroom.
[15:36.000 --> 15:39.000]  For example, most of the time, future journalists know how to code.
[15:39.000 --> 15:42.000]  So having a code that is readable is important.
[15:42.000 --> 15:44.000]  You get a quick overview.
[15:44.000 --> 15:46.000]  So we've got 10 minutes, yes, thank you.
[15:46.000 --> 15:51.000]  It's very convenient for prototyping and important also, reproducibility.
[15:51.000 --> 15:53.000]  But if you want, you can use Python.
[15:53.000 --> 15:57.000]  I don't want to enter the war between R and Python.
[15:57.000 --> 15:58.000]  The motivation.
[15:58.000 --> 16:01.000]  The motivation, we use Firefox and we dive into the source code.
[16:01.000 --> 16:09.000]  And this one was pretty easy because QA2 has a Google ad program inside.
[16:09.000 --> 16:12.000]  So every click that you made on this web page gives you some money.
[16:12.000 --> 16:16.000]  So this is the main motivation apart from the ideology.
[16:16.000 --> 16:22.000]  And about the identity, all the tools that we got from GitHub,
[16:22.000 --> 16:25.000]  Holyhead, Jint and Sherlock.
[16:25.000 --> 16:30.000]  These are command line tools that are packaged right now
[16:30.000 --> 16:32.000]  by a French company called APOs.
[16:32.000 --> 16:34.000]  But you can use them on your terminal
[16:34.000 --> 16:37.000]  and it will help you to dive into the nicknames
[16:37.000 --> 16:40.000]  and the mail combination on websites.
[16:40.000 --> 16:45.000]  We also used some leaks, but we found out who was Patrick behind this website.
[16:45.000 --> 16:48.000]  So let's wrap this up.
[16:48.000 --> 16:54.000]  First of all, I want to talk about the myth of a single tool in Hozind.
[16:54.000 --> 16:57.000]  Most of the time when I say to people,
[16:57.000 --> 17:00.000]  well, I'm a journalist or I work on Hozind,
[17:00.000 --> 17:02.000]  they say, oh, which tool do you use?
[17:02.000 --> 17:03.000]  There are several tools.
[17:03.000 --> 17:05.000]  There is no single tool in Hozind.
[17:05.000 --> 17:07.000]  And you've got to mix everything.
[17:07.000 --> 17:12.000]  About this investigation, this guy, Patrick, is a retired IT technician
[17:12.000 --> 17:16.000]  in a lost town in the middle of France.
[17:16.000 --> 17:19.000]  He's a completist, but as we saw,
[17:19.000 --> 17:23.000]  he's in the middle of a bubble of a completist influence.
[17:23.000 --> 17:29.000]  He earns approximately $4,000 a month just by writing crap.
[17:29.000 --> 17:34.000]  So it's very important for us and for the audience to know him
[17:34.000 --> 17:37.000]  and to how to him on the website.
[17:37.000 --> 17:39.000]  Patrick, we know who you are.
[17:39.000 --> 17:41.000]  That's my thing.
[17:41.000 --> 17:43.000]  Why do we use open source software?
[17:43.000 --> 17:45.000]  Because they are powerful, adaptable.
[17:45.000 --> 17:49.000]  They respect your privacy and repress your reproductability.
[17:49.000 --> 17:52.000]  I don't ever know how to pronounce this word.
[17:52.000 --> 17:56.000]  Most of the time, these tools are free, which is really important.
[17:56.000 --> 17:57.000]  And I insist on that.
[17:57.000 --> 17:59.000]  Junos, we don't have money.
[17:59.000 --> 18:04.000]  And when you go to Africa and train NGOs, for example, or journalists,
[18:04.000 --> 18:07.000]  it's very complicated to buy software for them.
[18:07.000 --> 18:09.000]  They don't even have regular machines.
[18:09.000 --> 18:12.000]  So having open source software is really important.
[18:12.000 --> 18:13.000]  So thank you, you all.
[18:13.000 --> 18:18.000]  If you code for open source software, it's really important for civil society.
[18:18.000 --> 18:20.000]  Thank you.
[18:20.000 --> 18:23.000]  The last one, collaboration.
[18:23.000 --> 18:25.000]  I didn't talk about collaboration.
[18:25.000 --> 18:30.000]  When you're in the room today, it's important for us to mention
[18:30.000 --> 18:33.000]  that collaboration on how our investigation is the key.
[18:33.000 --> 18:37.000]  First of all, by software, but also in order to share information
[18:37.000 --> 18:41.000]  and to share indicators of confirmation, for example.
[18:41.000 --> 18:43.000]  So data capitalization is important.
[18:43.000 --> 18:47.000]  And there is this project called OpenCTI that I hope we will try to impose
[18:47.000 --> 18:49.000]  in Europe as a tool.
[18:49.000 --> 18:51.000]  It's an open source tool.
[18:51.000 --> 18:55.000]  And we'll try to impose it as a standard with the disarm matrix.
[18:55.000 --> 18:56.000]  It's called disarm.
[18:56.000 --> 18:59.000]  All the links are in the presentation in order to get some cooperation.
[18:59.000 --> 19:01.000]  Thank you very much.
[19:01.000 --> 19:12.000]  Thank you.
[19:12.000 --> 19:20.000]  Let's spare a thought for Patrick and on with the questions.
[19:20.000 --> 19:21.000]  Yes.
[19:21.000 --> 19:23.000]  You mentioned you used some leaks.
[19:23.000 --> 19:27.000]  Is that a leaks that you have friends that gave you information?
[19:27.000 --> 19:32.000]  Or is it that you found things that had been put inadvertently in the public space?
[19:32.000 --> 19:33.000]  Second one.
[19:33.000 --> 19:36.000]  What we tried to do when we do something.
[19:36.000 --> 19:37.000]  Sorry.
[19:37.000 --> 19:39.000]  I mentioned the fact that we use leaks.
[19:39.000 --> 19:44.000]  And the question was, is this information that some friends give me
[19:44.000 --> 19:47.000]  or information that is publicly available on the internet?
[19:47.000 --> 19:49.000]  That was a question.
[19:49.000 --> 19:55.000]  The answer is, as OpenFactor is an NGO, we don't have friends.
[19:55.000 --> 19:59.000]  So we use public leaks.
[19:59.000 --> 20:02.000]  We dive on telegram, the darknet, et cetera.
[20:02.000 --> 20:08.000]  And we use basically keywords, passwords, and emails in order to make connection
[20:08.000 --> 20:12.000]  between nicknames and try to identify people like this.
[20:12.000 --> 20:14.000]  That's what we do.
[20:14.000 --> 20:15.000]  Thank you.
[20:15.000 --> 20:20.000]  We also have a sort of, I'm a former investigative journalist,
[20:20.000 --> 20:25.000]  investigator, so what I try to do is sort of judicial methodology.
[20:25.000 --> 20:29.000]  So we try to open everything in our investigation,
[20:29.000 --> 20:31.000]  and we mention all the information that we get.
[20:31.000 --> 20:33.000]  If we get a link from somewhere on the internet,
[20:33.000 --> 20:37.000]  we will explain where we got the leak every time.
[20:37.000 --> 20:39.000]  Transparency is important.
[20:39.000 --> 20:41.000]  Another question here?
[20:41.000 --> 20:42.000]  Yeah.
[20:42.000 --> 20:44.000]  Are you Jewish?
[20:44.000 --> 20:46.000]  No, I'm not.
[20:46.000 --> 20:47.000]  OK.
[20:50.000 --> 20:52.000]  The question was, am I Jewish?
[20:52.000 --> 20:53.000]  No, I'm not.
[20:53.000 --> 20:55.000]  No, no, no, no, no.
[20:55.000 --> 20:57.000]  I'm not Jewish.
[20:57.000 --> 20:59.000]  Other question?
[20:59.000 --> 21:00.000]  Yes.
[21:00.000 --> 21:04.000]  I mean, you mentioned like one particular person that you identified,
[21:04.000 --> 21:07.000]  but I mean, I guess there are more people.
[21:07.000 --> 21:10.000]  What is the scope of like the success of those information?
[21:10.000 --> 21:15.000]  We try to, so the question is that we identified one person
[21:15.000 --> 21:18.000]  behind this website, and there are probably more people
[21:18.000 --> 21:20.000]  and more website like this.
[21:20.000 --> 21:24.000]  So we are just a bunch of cool people working behind their computer.
[21:24.000 --> 21:28.000]  So we try to do our best, but at least we have one website
[21:28.000 --> 21:29.000]  which is really influential.
[21:29.000 --> 21:34.000]  So we start by the most productive website that we want to investigate,
[21:34.000 --> 21:37.000]  but of course there are millions, not millions,
[21:37.000 --> 21:41.000]  but thousands and thousands of people doing these kind of things.
[21:41.000 --> 21:45.000]  We do what we can, and we try to inspire other journalists
[21:45.000 --> 21:47.000]  in order to make their own investigation
[21:47.000 --> 21:51.000]  and to out these kind of people.
[21:51.000 --> 21:53.000]  Sorry.
[21:53.000 --> 21:59.000]  How big is the environment of NGO working on this kind of subject?
[21:59.000 --> 22:00.000]  Are you the only one?
[22:00.000 --> 22:04.000]  Are you a lot of NGOs and friends working on this information?
[22:04.000 --> 22:07.000]  The question is, are we a lot of people, for example,
[22:07.000 --> 22:09.000]  in France working on this information?
[22:09.000 --> 22:12.000]  There are some newspaper and newsroom that start to investigate
[22:12.000 --> 22:14.000]  on these kind of topics.
[22:14.000 --> 22:16.000]  It's not very popular, not very famous,
[22:16.000 --> 22:19.000]  but I think that the last three or four years,
[22:19.000 --> 22:23.000]  this information has become a major issue, especially in Europe,
[22:23.000 --> 22:27.000]  and we see plenty of NGOs such as Hew disinfo lab, for example.
[22:27.000 --> 22:31.000]  They are friends of ours, and we really like them,
[22:31.000 --> 22:33.000]  and we try to collaborate with them.
[22:33.000 --> 22:38.000]  So, yeah, I hope that we'll get more and more people
[22:38.000 --> 22:40.000]  in order to work on that.
[22:40.000 --> 22:41.000]  Other question?
[22:41.000 --> 22:45.000]  How can you stop automatic disinformation?
[22:45.000 --> 22:48.000]  So I'm thinking about chat GPT and Vox and stuff like that.
[22:48.000 --> 22:51.000]  So can you distinguish whether it's being auto-generated
[22:51.000 --> 22:53.000]  or human-generated?
[22:53.000 --> 22:54.000]  So the question is that,
[22:54.000 --> 22:58.000]  is how can we stop automatic disinformation
[22:58.000 --> 23:01.000]  made, for example, by chat GPT?
[23:01.000 --> 23:06.000]  Chat GPT is going to be a very big issue for influence,
[23:06.000 --> 23:08.000]  which is something pretty obvious.
[23:08.000 --> 23:11.000]  When I'm saying that, I'm saying obvious thing.
[23:11.000 --> 23:15.000]  But, yeah, it's going to be a problem because
[23:15.000 --> 23:17.000]  websites, especially search engines,
[23:17.000 --> 23:19.000]  they use, as I mentioned, SEO technique
[23:19.000 --> 23:22.000]  in order to do the ranking of the website.
[23:22.000 --> 23:25.000]  And one of the biggest issues, for example,
[23:25.000 --> 23:30.000]  for Google, will be to figure out if a content
[23:30.000 --> 23:33.000]  not only is duplicated, which was pretty easy to do,
[23:33.000 --> 23:37.000]  but now automatically connected.
[23:37.000 --> 23:39.000]  So I don't have any solution for the moment.
[23:39.000 --> 23:41.000]  We haven't faced this problem so far.
[23:41.000 --> 23:45.000]  Chat GPT is quite recent, and its use is not
[23:45.000 --> 23:48.000]  widespread right now, but it's going to change
[23:48.000 --> 23:50.000]  within the next six months.
[23:50.000 --> 23:52.000]  And I'm sure about that.
[23:52.000 --> 23:54.000]  As an answer to this gentleman's question,
[23:54.000 --> 23:58.000]  the OpenAIG recently launched a site where you can
[23:58.000 --> 24:01.000]  give a text, it will give you a confidence level
[24:01.000 --> 24:05.000]  if it's human-generated or computer-generated.
[24:05.000 --> 24:08.000]  Yeah.
[24:08.000 --> 24:12.000]  Sorry, sorry.
[24:12.000 --> 24:16.000]  Yep, sorry.
[24:16.000 --> 24:17.000]  This one.
[24:17.000 --> 24:19.000]  Yeah, I was curious about the length that you did
[24:19.000 --> 24:20.000]  at the notes.
[24:20.000 --> 24:22.000]  Could you explain more of the color of the page?
[24:22.000 --> 24:23.000]  The level?
[24:23.000 --> 24:24.000]  Yes.
[24:24.000 --> 24:27.000]  So the level is basically the title of the website?
[24:27.000 --> 24:28.000]  Yeah, sorry, the coloring.
[24:28.000 --> 24:29.000]  Ah, the coloring.
[24:29.000 --> 24:34.000]  We use the, we use the, between the centrality
[24:34.000 --> 24:36.000]  on this graph.
[24:36.000 --> 24:41.000]  So it's usually what I do on this kind of website
[24:41.000 --> 24:45.000]  in order to figure out the importance of a node
[24:45.000 --> 24:49.000]  as a distributor of the connections
[24:49.000 --> 24:51.000]  between other sub-communities.
[24:51.000 --> 24:53.000]  So, yeah.
[24:53.000 --> 24:57.000]  Because the American cluster is, I'm just curious
[24:57.000 --> 24:58.000]  about your cluster.
[24:58.000 --> 24:59.000]  Ah, okay.
[24:59.000 --> 25:01.000]  Oh, the distribution, you mean, for example,
[25:01.000 --> 25:02.000]  of the links?
[25:02.000 --> 25:08.000]  It's, it's basically a, it's, it's the standard Gefi.
[25:08.000 --> 25:11.000]  No, no, no, no, the, the spatialization.
[25:11.000 --> 25:12.000]  What?
[25:12.000 --> 25:13.000]  For Satlas.
[25:13.000 --> 25:14.000]  For Satlas.
[25:14.000 --> 25:15.000]  For Satlas.
[25:15.000 --> 25:19.000]  So it's this one.
[25:19.000 --> 25:20.000]  Yeah, this one.
[25:20.000 --> 25:23.000]  So it's for Satlas, so every link that is close
[25:23.000 --> 25:26.000]  to the other one will be like packed as itself
[25:26.000 --> 25:30.000]  and a group, a cluster that is not very linked
[25:30.000 --> 25:33.000]  to another one will be far away from the other one.
[25:33.000 --> 25:36.000]  There is, there is a bias in the representation
[25:36.000 --> 25:38.000]  because I wanted QoT to be at the top.
[25:38.000 --> 25:41.000]  So it's part of my fault.
[25:41.000 --> 25:43.000]  But for the rest, it's basically the extract
[25:43.000 --> 25:46.000]  and the export from Gefi.
[25:46.000 --> 25:51.000]  Yeah, I was just wondering, in the beginning,
[25:51.000 --> 25:54.000]  you said that this information is deliberate.
[25:54.000 --> 25:55.000]  Yes.
[25:55.000 --> 25:56.000]  Incorrect information.
[25:56.000 --> 25:57.000]  Yes.
[25:57.000 --> 25:58.000]  How can you judge if it's deliberate?
[25:58.000 --> 26:00.000]  I mean, this guy behind the website,
[26:00.000 --> 26:02.000]  is he like, I'm going to push the slide
[26:02.000 --> 26:04.000]  or is he actually believing it himself?
[26:04.000 --> 26:06.000]  Is there a method to...
[26:06.000 --> 26:09.000]  First of all, when you work on this information,
[26:09.000 --> 26:14.000]  you, so the question is how can we make the distinction
[26:14.000 --> 26:16.000]  between misinformation and disinformation.
[26:16.000 --> 26:18.000]  So, basically, when you start an investigation,
[26:18.000 --> 26:20.000]  this is the first question that you ask yourself.
[26:20.000 --> 26:23.000]  Is it going to be disinformation or misinformation?
[26:23.000 --> 26:28.000]  Misinformation is like something that could be true,
[26:28.000 --> 26:33.000]  but no, that is false, but the person thinks it's true.
[26:33.000 --> 26:34.000]  Okay?
[26:34.000 --> 26:36.000]  But when you see the content of the website,
[26:36.000 --> 26:39.000]  you know that he is talking always on the same topics,
[26:39.000 --> 26:41.000]  always distributing the same kind of information,
[26:41.000 --> 26:44.000]  so you know that he does this deliberately.
[26:44.000 --> 26:45.000]  But the motivation is important,
[26:45.000 --> 26:47.000]  and that's why, in this case,
[26:47.000 --> 26:50.000]  it was important to identify the Google Ads tag,
