[00:00.000 --> 00:08.320]  Okay, so welcome everybody.
[08:29.240 --> 08:36.240]  an input, and an helper text, so without realizing, I was putting a form control into another
[08:36.240 --> 08:39.640]  one, so it did not work.
[08:39.640 --> 08:43.160]  The problem is not that it's not working, because it was my fault.
[08:43.160 --> 08:48.400]  The problem is that I was not able to get any warning into the console to say, me, hey,
[08:48.400 --> 08:54.040]  you're doing stupid stuff, but that's because people can take all the components they want
[08:54.040 --> 09:01.080]  and rub them in the order they want, and you cannot handle all the stupid adcage that developers
[09:01.080 --> 09:06.640]  could be able to do, so you cannot prevent them from doing a mistake.
[09:06.640 --> 09:09.640]  So here is a correction.
[09:09.640 --> 09:15.800]  If you want an example, this is Ikea page, fairly simple, but there is already six ways
[09:15.800 --> 09:22.040]  of not to do, and in two documentation, developers do not already read the section how to do,
[09:22.040 --> 09:27.320]  so how not to do, you are likely that they will never read it.
[09:27.320 --> 09:32.480]  So customization is nice, because you can already override your components.
[09:32.480 --> 09:36.960]  It works out of the box, if you stick with the default one, it's nice, but it's not
[09:36.960 --> 09:44.400]  beginner friendly, because you cannot prevent errors, and there is another fact, if you
[09:44.400 --> 09:49.160]  want to do customization, you need to understand how the providers are working, and it's super
[09:49.160 --> 09:52.320]  hard one to document, and two to explore.
[09:52.320 --> 09:57.960]  You cannot say, oh, I console log the props, and I saw all the attributes that are available,
[09:57.960 --> 10:04.760]  and I guess how they work, there is to use some provider and consumer.
[10:04.760 --> 10:11.960]  So now the last one, which are the slots used at MUI, so if you remember, the first example
[10:11.960 --> 10:17.320]  I give about customizing button is to add an end icon.
[10:17.320 --> 10:22.680]  We can apply the same thing for custom components, for example, I want to provide a custom filter
[10:22.680 --> 10:28.000]  panel, so I pass a props filter panel, but we arrive at the same problems, an infinite
[10:28.000 --> 10:29.960]  list of props.
[10:29.960 --> 10:35.840]  So we put some context, so we define the property slots, and we will document in a specific
[10:35.840 --> 10:44.480]  place, these are all the components you can override, and that works, but this is a kind
[10:44.480 --> 10:50.560]  of basic filter panel with a lot of subcomponents, a lot of logic and edge case that are already
[10:50.560 --> 10:57.800]  being solved, and you want to take advantage of all the issues we resolved.
[10:57.800 --> 11:04.920]  So the idea is to provide also slot props, so you say to my filter panel, which is kind
[11:04.920 --> 11:10.520]  of a box I can remove and replace by a custom one, I also want to put some inputs, so for
[11:10.520 --> 11:16.880]  example here I want to provide the property colon is sorted by ascending order, and the
[11:16.880 --> 11:22.200]  default component might support it, so of course if you replace it with a custom one
[11:22.200 --> 11:28.400]  and do not support these props it will not work, which is a complex case, but this is
[11:28.400 --> 11:35.200]  currently the solution to solve the initial issue sorting by ascending order.
[11:35.200 --> 11:40.000]  So it's customizable because in the worst case you remove the components and replace
[11:40.000 --> 11:46.680]  by a custom one, it works out of the box because if you don't want customization it's working,
[11:46.680 --> 11:51.400]  and begin off only because we have a single place for the interface between your code
[11:51.400 --> 11:56.840]  and our code which are the properties, so you remove the components and you know props
[11:56.840 --> 12:03.760]  pass to these components is the only responsibility we have to provide you, you don't have to
[12:03.760 --> 12:11.000]  expect props coming from somewhere else or modification of the wrapper because you see
[12:11.000 --> 12:15.280]  it has a new children.
[12:15.280 --> 12:16.920]  So which one is the best?
[12:16.920 --> 12:21.160]  I've already seen this question a lot of time on two Twitter and of course the answer
[12:21.160 --> 12:26.000]  is there is no best, it depends on how many time you are able to spend on your project
[12:26.000 --> 12:34.160]  and how much custom you want to be, and there is a last solution which is you can also not
[12:34.160 --> 12:43.000]  choose, it's an upcoming way to do it, so for example for a filter panel you can use
[12:43.000 --> 12:49.400]  slots to override it, so you have a way to say that your only props are your interface
[12:49.400 --> 12:53.920]  between the library and your custom components.
[12:53.920 --> 12:59.560]  You can use headless inside your custom components to say okay I know what I will get as a props
[12:59.560 --> 13:06.960]  so I can provide you a hook that will transform them into a helping functions, and if there
[13:06.960 --> 13:13.000]  is a lot of elements inside you can also provide the basic bricks to build your filter panel
[13:13.000 --> 13:20.800]  consuming the, for example your filter items props that are provided by the headless approach,
[13:20.800 --> 13:27.960]  so there is a way to say okay you can do whatever you want with a filter panel, if it's really
[13:27.960 --> 13:32.480]  common you will just have to pass props, it's more general if you want for example to modify
[13:32.480 --> 13:37.000]  the DOM, it's something like that when you have to mix everything, and if you want to
[13:37.000 --> 13:45.400]  do something completely different, you go to the trash and put your own components,
[13:45.400 --> 13:58.720]  and that's all for me.
[13:58.720 --> 14:04.800]  Thank you very much, we obviously have plenty of time for questions, so who wants to ask
[14:04.800 --> 14:15.760]  the first one?
[14:15.760 --> 14:21.920]  Hi first thank you very much for creating the data grid, it has saved my job countless
[14:21.920 --> 14:32.560]  times, my question was more related to, oh yeah I don't want to, okay, my question is
[14:32.560 --> 14:40.240]  related to another talk that we saw today called Penpot, which is an open source version
[14:40.240 --> 14:50.960]  of Figma basically, and MIUI has some design kits to use in different design tools, are
[14:50.960 --> 14:57.760]  you guys looking at Penpot, are you thinking about creating a design kit for it, I would
[14:57.760 --> 14:59.920]  love to use it, thank you.
[14:59.920 --> 15:14.960]  I have clearly no idea because it's a completely different team that is, okay, thank you.
[15:14.960 --> 15:22.480]  Hello, thank you for the presentation, a quick question regarding the design phase, did you
[15:22.480 --> 15:27.080]  consider about backward compatibility, about what?
[15:27.080 --> 15:30.640]  Backwards compatibility with previous versions of Material UI?
[15:30.640 --> 15:36.000]  Yes, but what is the relation with backwards compatibility?
[15:36.000 --> 15:42.840]  So with each new major version that Material UI has, usually there are quite a few breaking
[15:42.840 --> 15:51.920]  changes, so when you were talking about the considerations on the design phase about being
[15:51.920 --> 15:59.000]  beginner-friendly and all this stuff, was backwards compatibility a thought at that
[15:59.000 --> 16:02.880]  stage?
[16:02.880 --> 16:13.440]  I honestly don't understand how do you want to provide a backward compatibility for such
[16:13.440 --> 16:16.400]  a user library.
[16:16.400 --> 16:26.800]  I don't understand what you're expecting to get solved by the library.
[16:26.800 --> 16:32.960]  So you usually expect backwards compatibility so that every time that a major version is
[16:32.960 --> 16:44.160]  upgraded, your code does not break a lot, but that is not the case, unfortunately, usually.
[16:44.160 --> 16:52.480]  As long as you do not go from one major to another one, it's working.
[16:52.480 --> 16:57.880]  I mean, we follow the same verse, so if you're into V4, you can upgrade as long as you want
[16:57.880 --> 16:59.960]  and it will be working.
[16:59.960 --> 17:01.680]  Okay, thanks.
[17:01.680 --> 17:17.160]  Thank you, while I walk up, I see a little bit of trash here and there, so please, even
[17:17.160 --> 17:22.080]  if it's not yours, pick it up and put it in the bin.
[17:22.080 --> 17:23.320]  Thank you.
[17:23.320 --> 17:27.120]  So you showed us about slot props and slots.
[17:27.120 --> 17:31.840]  You said that it was basically the best trade-off between being beginner-friendly and customizable.
[17:31.840 --> 17:36.800]  I was wondering what if you have really complex components when the slot components also have
[17:36.800 --> 17:38.800]  slots themselves.
[17:38.800 --> 17:41.680]  Are you able to do this kind of cascade of slot props?
[17:41.680 --> 17:46.760]  There is this problem sometimes.
[17:46.760 --> 17:53.600]  It's problematic for documentation point of view because if you allow people to override
[17:53.600 --> 18:02.200]  the sub-slot, they will not implement all the edge case interfacing with the props provided
[18:02.200 --> 18:08.760]  and after that, they want to just pass the props to the wrapper components and, of course,
[18:08.760 --> 18:15.840]  it will break because they did not implement it the internal ones and it's problematic,
[18:15.840 --> 18:23.400]  but you are to say that the best way to mitigate is you do not provide a slot for every component
[18:23.400 --> 18:28.520]  just the stuff that can be considered as an independent.
[18:28.520 --> 18:34.920]  For example, a filter panel is super easy because you have an entire piece of software.
[18:34.920 --> 18:37.160]  It will get some filters in time.
[18:37.160 --> 18:40.360]  It needs to update its value and that's all.
[18:40.360 --> 18:41.360]  It's super clear.
[18:41.360 --> 18:42.360]  It's the same.
[18:42.360 --> 18:44.360]  You will not have sub-components.
[18:44.360 --> 18:47.840]  You want to customize except writing them by yourself.
[18:47.840 --> 18:54.800]  So it's really rare when you have a sub-component into another one for slots.
[18:54.800 --> 18:55.800]  Okay.
[18:55.800 --> 18:58.280]  And for the rest, you are using props, I suppose?
[18:58.280 --> 18:59.280]  Yes.
[18:59.280 --> 19:05.800]  And I think for now, we do not do it because we don't need to reach this level of simplifying
[19:05.800 --> 19:12.840]  customization, but I think providing the sub-components to do it is maybe the best way.
[19:12.840 --> 19:18.240]  For example, we have a toolbar and the way to overriding is you provide a slot to define
[19:18.240 --> 19:23.600]  what is the toolbar and we provide all the default buttons you wish to put into your
[19:23.600 --> 19:24.600]  toolbar.
[19:24.600 --> 19:25.600]  Okay.
[19:25.600 --> 19:43.560]  Thank you.
