[00:00.000 --> 00:05.920]  Good morning, wow.
[06:19.480 --> 06:26.680]  to all of the App Images problem. And yeah, they worked really nicely with it and they
[06:26.680 --> 06:32.480]  gave all these promises, they'd be encouraging people to be using OBS as the main App Image
[06:32.480 --> 06:40.240]  building tool and we'd all move on happy in a nice unified way forward. And I even said
[06:40.240 --> 06:45.880]  things to Snappy and Flatback like you're falling behind App Image at this point, saying
[06:45.880 --> 06:51.720]  App Image had a better build story and they were working with other people and telling
[06:51.720 --> 06:58.200]  people to be more like App Image. And I still was badgering on, by the way, you can tell
[06:58.200 --> 07:02.840]  all my old slides because they have this thing at the bottom so you can see old me compared
[07:02.840 --> 07:08.440]  to new me. I was still worrying a little bit about dependencies because as you'll see,
[07:08.440 --> 07:17.320]  App Image makes some really interesting assumptions but I was, you know, tuned 2017 kind of hopeful
[07:17.320 --> 07:21.880]  that, you know, we'd get to a point where everybody would be working together and we'd
[07:21.880 --> 07:28.080]  have sort of maybe a new consistent run time and things could move forward. I was also
[07:28.080 --> 07:33.040]  hopeful that we might have sandboxing finally because, you know, Snapp kind of had some
[07:33.040 --> 07:40.160]  with App Armor. Flatback has Bubblewrap. You know, maybe App Armor would be the way forward.
[07:40.160 --> 07:47.760]  How wrong I was. So now, five years later, where are we? And I don't want to go deep
[07:47.760 --> 07:53.200]  down in technical issues too much because a lot of this isn't just technical. You know,
[07:53.200 --> 07:57.760]  we're an open source project. Any technical issue can be fixed, right? It is a lot about
[07:57.760 --> 08:01.840]  what are people actually doing? What do they actually care about? Where are they actually
[08:01.840 --> 08:08.320]  taking things? What are we actually doing? So let's judge people by their own standards.
[08:08.320 --> 08:13.720]  This is a screenshot from the current App Image website. And it says, use this to make
[08:13.720 --> 08:21.280]  Linux apps that run everywhere. But they don't run everywhere. And they say, as a user, it
[08:21.280 --> 08:29.960]  should be as easy to install as it is on a Mac or Windows machine. But they're not. And
[08:29.960 --> 08:33.240]  they say, you don't have to learn all these distributions with all these different distros
[08:33.240 --> 08:38.520]  doing things different ways. Technically, that's true. You just need to learn all these
[08:38.520 --> 08:42.080]  different distributions and doing all the different things. And you have to build your
[08:42.080 --> 08:49.120]  own to put in your App Image. And I'm not just, you know, saying this to, you know,
[08:49.120 --> 08:54.840]  core shade on them. You know, these, we have, I have users on micro OS who are trying to
[08:54.840 --> 09:01.440]  run App Images. And they can't because App Images require Fuse 2. I'm a rolling release.
[09:01.440 --> 09:07.360]  I haven't shipped Fuse 2 for like a year. I've been using Fuse 3. And you can't get
[09:07.360 --> 09:13.000]  an App Image to work with Fuse 3. It has to be Fuse 2. The portable image format that
[09:13.000 --> 09:18.280]  isn't portable because it makes assumptions about stuff that's on the base OS. And not
[09:18.280 --> 09:26.200]  just, you know, not just weird stuff like Fuse, but even down and dirty in the kernel.
[09:26.200 --> 09:29.760]  If you're running Debian and you're trying on an electron app, it's not going to work
[09:29.760 --> 09:34.880]  properly because the kernel in Debian isn't built the way that App Image is expecting
[09:34.880 --> 09:41.880]  the kernel to be running. So this is great promise. And it's going to work in some places,
[09:41.880 --> 09:45.960]  but only if you're lucky enough that your distro has the same assumptions baked into
[09:45.960 --> 09:52.520]  it that App Image has. And this is a recurring issue. Even reading the App Image documentation
[09:52.520 --> 10:00.040]  for building App Images, you know, it tells you, as a developer, think about all of the
[10:00.040 --> 10:03.960]  distros where you want your App Image to run on. So the whole promise of, you know,
[10:03.960 --> 10:06.520]  not worrying about distros goes away. You have to worry about more of them than you
[10:06.520 --> 10:12.640]  normally would. And put every single dependency which might not be fulfilled by that distro
[10:12.640 --> 10:18.480]  in your App Image. So, yeah, avoid distros by building a huge one and putting it in a
[10:18.480 --> 10:25.400]  big table. It's a lot of work. It's way too much work. I utterly respect anybody using
[10:25.400 --> 10:31.360]  it because they're probably doing more work than I am doing a rolling release. Especially
[10:31.360 --> 10:37.760]  when the recommendations for what you put in that giant App Image is the oldest, crustiest
[10:37.760 --> 10:44.240]  stuff you can find. They recommend avoiding using anything new because anything new is
[10:44.240 --> 10:50.040]  more likely to have compatibility issues with older distros. So literally find the oldest
[10:50.040 --> 10:55.080]  distro that's still supported and use that as your base for building App Image. Which,
[10:55.080 --> 10:58.360]  you know, also seems a bit of a problem to me because, you know, if you're always picking
[10:58.360 --> 11:03.200]  the oldest, the oldest is always the first one to not get maintenance updates. So you
[11:03.200 --> 11:09.040]  are always going to be rebasing on some crusty old almost out of day LTS to do what you want
[11:09.040 --> 11:15.640]  to do with App Image. It doesn't make any sense by their own standards. And they tell
[11:15.640 --> 11:21.720]  everybody that it's installing just like on a Mac. You know, just download the binary,
[11:21.720 --> 11:27.880]  put it on your desktop, right click it, make it executable and it will run. Which, you
[11:27.880 --> 11:34.440]  know, 15 years ago, that's true. That's how you run something on a Mac. I own a Mac now.
[11:34.440 --> 11:40.240]  That's not how you run stuff on a Mac. There's not a single Mac application I've ever installed
[11:40.240 --> 11:45.560]  that works that way. Even the Apple documentation makes it very, very clear that if you're downloading
[11:45.560 --> 11:50.480]  something from the Internet and you double-clicking it on a Mac, it's going to run an installer.
[11:50.480 --> 11:54.920]  Which is a terrible thing anyway. But it needs to run an installer. When you're downloading
[11:54.920 --> 11:58.080]  random stuff from the Internet, there needs to be checks for dependencies. There needs
[11:58.080 --> 12:05.160]  to be some, yeah, modification to what's on the host. So every random downloaded Mac
[12:05.160 --> 12:11.520]  application has an installer just like Windows. Or it's done in an app store where, you know,
[12:11.520 --> 12:17.240]  Apple are controlling all that kind of things and helping that along. So yes, I was wrong
[12:17.240 --> 12:23.880]  about App Image. First thing, it was terrible. Because they did try and make an effort. But
[12:23.880 --> 12:29.640]  then I was wrong again because it's actually even worse than I said five years ago. You
[12:29.640 --> 12:36.120]  know, they failed to do everything that they set out to do. They don't do anything to address
[12:36.120 --> 12:44.120]  the actual problems with software releasing. Dependency problems are just hand-wavy worse
[12:44.120 --> 12:49.240]  than anyone else could possibly do. Licensing issues, security, maintenance, good luck.
[12:49.240 --> 12:55.800]  Build a new distro and ship it again. And this is worse than we do in distros with all
[12:55.800 --> 13:01.840]  of the faults I will admit distros have on this. So please, do not use App Images. And
[13:01.840 --> 13:05.960]  also they're not nice people. Because they kept publishing this for like four years after
[13:05.960 --> 13:13.000]  I told them to take it down and I had to threaten to sue them. So they're just not nice.
[13:13.000 --> 13:20.520]  Now, SNAP. Despite my reservations back in 2017, actually SNAP was at the time the one
[13:20.520 --> 13:26.560]  I was most optimistic about. You know, at the time Canonical were actively collaborating
[13:26.560 --> 13:32.120]  with other distributions. They even invited me to a SNAP workshop trying to get SNAP supported
[13:32.120 --> 13:37.960]  in as many Linux distributions as possible. They had an approach of upstream first. They
[13:37.960 --> 13:41.560]  were promising that all of their app armor patches and all of the enablement they had
[13:41.560 --> 13:46.160]  to do was going to end up in the kernel and going to end up being upstream. At the time
[13:46.160 --> 13:50.640]  in 2017, you could run your own SNAP store. So you could have your own repository for
[13:50.640 --> 13:57.680]  downloading SNAPs. And unlike Flatpak where, you know, it's much more just graphical. They
[13:57.680 --> 14:02.640]  also had a story for, you know, non-graphical apps. And, you know, it's only five years
[14:02.640 --> 14:06.840]  ago. But back then, you know, everybody wasn't necessarily using containers for server stuff
[14:06.840 --> 14:14.040]  the way we are now. So, you know, it was interesting on all those levels. But it's five years
[14:14.040 --> 14:23.120]  later. And all of the promises of SNAP confinement working everywhere so you can have your nicer
[14:23.120 --> 14:30.000]  sandboxed SNAP application hasn't come true. You know, SNAPD does not support confinement
[14:30.000 --> 14:37.320]  on most non-Obuntu distributions. And even some Ubuntu distributions. And, you know,
[14:37.320 --> 14:44.120]  this was posted on their forums three years ago now. That was the case three years ago.
[14:44.120 --> 14:51.000]  You know, users still waiting to get any kind of proper sandboxing insecurity with SNAPs.
[14:51.000 --> 14:57.960]  Still not there. And then this was posted this month. Still promising. It might happen.
[14:57.960 --> 15:02.160]  But it's been five years. None of the app armor stuff is in the kernel yet. None of
[15:02.160 --> 15:08.440]  the enablement we need is in the kernel yet. Distros can't easily or really at all, you
[15:08.440 --> 15:17.440]  know, keep with an upstream kernel and get SNAP running in the way SNAP should be running.
[15:17.440 --> 15:21.880]  So if you run a SNAP on a non-Obuntu distribution, you're probably running it in an incredibly
[15:21.880 --> 15:26.360]  secure and insecure way. You know, do you trust that random software deliverable with,
[15:26.360 --> 15:34.940]  you know, access to everything on your machine? Probably not. At least that random software
[15:34.940 --> 15:39.680]  developer using SNAP isn't using their own SNAP store because they can't anymore. You
[15:39.680 --> 15:44.800]  know, 2017 you could. Then they released a new version of SNAPD. So now the only version
[15:44.800 --> 15:52.240]  of the SNAP store that works with SNAPD is Kmonocos. So, you know, it's an open source
[15:52.240 --> 15:57.120]  package format, but it's a closed source delivery format. You're only going to get that software
[15:57.120 --> 16:03.040]  from Kmonocos and if you read up on it, you know, there's lots of examples where Kmonocos
[16:03.040 --> 16:07.800]  have done the right thing and, you know, handled SNAPs that were, you know, malicious and got
[16:07.800 --> 16:12.040]  them off quickly. But it's like, how do you know, you know, you're just trusting Kmonocos
[16:12.040 --> 16:15.640]  that they're always doing the right thing because you can't see. You can't see what
[16:15.640 --> 16:21.440]  they're putting on there. You can't see how they get there. You can't do it yourself.
[16:21.440 --> 16:27.960]  You know, if you trust Kmonocos, that's fine. But, you know, I'm much more open source orientated
[16:27.960 --> 16:32.000]  myself. I'd rather, you know, even if I am trusting somebody else, I'd rather be able
[16:32.000 --> 16:36.160]  to have a look and see what's going on in there, maybe run my own, maybe compare something
[16:36.160 --> 16:42.280]  alongside, you know, and yes, for most developers or at least most small developers, this is
[16:42.280 --> 16:48.960]  free. So you can build your SNAP and publish it to the Kmonocos SNAP store, you know, with
[16:48.960 --> 16:52.960]  no effort. But as soon as you start getting bigger, as soon as you start becoming a bit
[16:52.960 --> 16:57.880]  of an ISV or doing stuff with IoT with lots of devices, then Kmonocos want you to have
[16:57.880 --> 17:03.880]  a brand store. And this isn't a documentation for SNAPcraft where it comes to building.
[17:03.880 --> 17:08.280]  When you actually have a look at the price list for having a SNAP store, you know, the
[17:08.280 --> 17:14.680]  price list is kind of dear. You know, do you really want to be spending at least 5000 euros
[17:14.680 --> 17:22.200]  just to be able to publish your application on somebody else's server under your name?
[17:22.200 --> 17:25.680]  But I can understand if people are buying into this, you know, I can definitely understand
[17:25.680 --> 17:31.560]  why Canonical Antenna Rush to change it. It's probably making them a good bit of money.
[17:31.560 --> 17:37.800]  On open-suited, like I said, at the time in 2017, they were working with us. Now, not
[17:37.800 --> 17:43.920]  going so well. SNAP is the only bit of software in all of my years doing anything, police
[17:43.920 --> 17:49.480]  manageried open-suizer where it's felt more than one security order. It's the only bit
[17:49.480 --> 17:55.480]  of software I've had to project in multiple times. And there was good collaboration going
[17:55.480 --> 18:02.360]  on to get those issues fixed, but since 2019, that's kind of fizzled out. Haven't seen anything
[18:02.360 --> 18:09.960]  since. So when it comes to SNAP, you know, I was wrong. I was really kind of keen on
[18:09.960 --> 18:17.760]  SNAP back in 2017. And these days, I can't really say that much nice about it. The upstream
[18:17.760 --> 18:23.840]  first promises have all stalled. It doesn't seem to be an effort to get it really moving
[18:23.840 --> 18:27.760]  again on other distributions. So, you know, it's not a portable format by any stretch
[18:27.760 --> 18:34.120]  of any imagination. There's no open-source delivery option, you know, even if SNAP, you
[18:34.120 --> 18:37.960]  know, the SNAP store may always be the best way of doing it anyway. There's a case to
[18:37.960 --> 18:44.800]  be made for that, even if there was an open-source way. And, you know, it's not really a viable
[18:44.800 --> 18:48.840]  alternative for something like Flatpak until, you know, unless you use Ubuntu, unless you
[18:48.840 --> 18:56.720]  trust Canonical, unless you're willing to give them money to distribute your stuff.
[18:56.720 --> 19:04.840]  And so, Flatpak. Now, I need to kind of do a little bit of a detour on this, because when
[19:04.840 --> 19:11.600]  I was talking five years ago about all of this stuff, one of the things that I was trying
[19:11.600 --> 19:16.600]  to pitch in the side thing there was this idea that, you know, well, everybody should
[19:16.600 --> 19:21.440]  be using rolling releases. I really, really believe that. And I still believe that now.
[19:21.440 --> 19:31.080]  And I really think, you know, in this modern age, to get applications in the hands of users,
[19:31.080 --> 19:36.080]  you know, a rolling-based operating system is the absolute key. You know, you need to
[19:36.080 --> 19:42.800]  have it all built together, you need to have everything, yeah, integrated, built consistently,
[19:42.800 --> 19:46.960]  tested consistently, and, you know, taking the fair share of the maintenance and security
[19:46.960 --> 19:50.320]  burden, and then shipping it all in a way that the users don't really care that everything
[19:50.320 --> 19:55.840]  is churning around underneath, you know, it just works. And at SUSE we've still been working
[19:55.840 --> 20:03.080]  on this. We have an operating system called Open SUSE MicroRS. Vanilla MicroRS is much
[20:03.080 --> 20:11.280]  more server-orientated. It's immutable, like CoreOS and other similar immutable platforms.
[20:11.280 --> 20:17.080]  Can't be modified during runtime at all. It's rolling, so changing snapshots, it's actually
[20:17.080 --> 20:23.000]  using the same code base as Tumbleweed, so every day, almost. It's small, but small enough
[20:23.000 --> 20:29.120]  to do the job that it's meant to do. And the assumption is, you know, that server is going
[20:29.120 --> 20:35.080]  to do just one job in a data center, so, you know, a VM running one RPM or a VM running
[20:35.080 --> 20:40.400]  containers, and then, you know, as many containers on top, but, you know, the job is a container
[20:40.400 --> 20:45.680]  from the operating system point of view. And this is working really quite well. In fact,
[20:45.680 --> 20:50.080]  SUSE also has commercial products based on this. SLEE Micro is based directly off Open
[20:50.080 --> 20:55.640]  SUSE MicroRS, the new SUSE Alp you might have heard of, where we're thinking of doing like
[20:55.640 --> 21:01.760]  a whole new ecosystem of enterprise distros. You know, that's building off what we did
[21:01.760 --> 21:08.760]  with SLEE Micro and Open SUSE MicroRS. But me, you know, I'm still a desktop guy. So,
[21:08.760 --> 21:13.200]  you know, doing this with my day job, I found myself asking, yeah, I found myself asking,
[21:13.200 --> 21:19.080]  was like, okay, so, I've got this nice small OS and it can run just one thing. You know,
[21:19.080 --> 21:26.640]  what if that just one thing with a desktop? And so, I started the MicroS desktop project,
[21:26.640 --> 21:34.640]  sort of alongside regular MicroS. And, yeah, basically it's a modern Chromebook-like, silver
[21:34.640 --> 21:40.720]  blue-like environment where you have a nice minimal base system. My recommendation will
[21:40.720 --> 21:44.400]  be running the GNOME one. That's the one that's most maintained with a desktop environment
[21:44.400 --> 21:51.360]  on top. And the basic configuration tools are, yeah, the in there, but everything else
[21:51.360 --> 21:58.280]  is provided by somewhere else. In fact, everything else is provided by Flaphack. So, this is
[21:58.280 --> 22:01.600]  one of the reasons why I'm doing this presentation. I kind of have to explain how in five years
[22:01.600 --> 22:05.680]  I went from Flaphack is the devil to Flaphack is the only thing you should be running on
[22:05.680 --> 22:10.520]  your desktop. Because I talked to some of the people that I was talking to back then and
[22:10.520 --> 22:19.440]  this is kind of their expression. Because five years ago, when I was talking about this stuff,
[22:19.440 --> 22:25.360]  I was meanest about Flaphack than all the other ones. I was even invited to Gwadek and
[22:25.360 --> 22:29.880]  I gave the meanest talk I have ever given to anybody right to the people who were actually
[22:29.880 --> 22:38.520]  developing the thing. And the guys from GNOME, they listened. I wasn't right. I'm not right
[22:38.520 --> 22:43.600]  about everything. That's the recurring theme of this presentation. But they challenged
[22:43.600 --> 22:51.480]  some of my opinions, but they accepted at least the cool ones that actually mattered.
[22:51.480 --> 22:58.400]  And Flaphack has changed. Like I was talking about earlier, responsibility is the key issue
[22:58.400 --> 23:04.560]  when you're talking about delivering software. No matter how you're distributing it. You
[23:04.560 --> 23:10.400]  need to be thinking about dependencies and licenses and maintenance and security. And
[23:10.400 --> 23:15.080]  one thing that Flaphack does very, very well is basically take all of that away from the
[23:15.080 --> 23:21.960]  distribution and make it the packages problem. Not great if you're a package, but they do
[23:21.960 --> 23:26.520]  it in a way that actually probably lowers the burden for everybody. So that's nice.
[23:26.520 --> 23:30.960]  Automation and technology is great. But really, dependencies become the issue of the person
[23:30.960 --> 23:36.520]  making the Flaphack. Licenses become the issue there. Maintenance, security, etc. So distros
[23:36.520 --> 23:44.080]  can stop worrying about it. And Flaphack does this very well with their runtime concept
[23:44.080 --> 23:48.040]  where if you're building an application for GNOME, you have a GNOME runtime. If you're
[23:48.040 --> 23:53.760]  building an application for KDE, you have a KDE runtime. Elementary have their runtime
[23:53.760 --> 23:59.560]  as well. And then for everything else, there's the generic free desktop runtime, which is
[23:59.560 --> 24:06.880]  a little bit heavier and clunkier, but gets the job done. And back in 2017, this terrified
[24:06.880 --> 24:12.040]  me. Not because there was competing distributions, because I'm used to competing distributions.
[24:12.040 --> 24:19.240]  The question was really, are these mini-distributions going to be maintained anything like every other
[24:19.240 --> 24:25.760]  distro out there? Are these going to handle CDEs well? Are they going to not have horrific
[24:25.760 --> 24:31.240]  licensing issues, etc., etc.? Well, they've been doing this for five years now. These
[24:31.240 --> 24:38.520]  runtimes are very well maintained. These are snapshots from their various git trees. They're
[24:38.520 --> 24:44.000]  all updating very, very quickly, keeping up with their respected upstreams of GTK and
[24:44.000 --> 24:50.600]  QT and what have you. Handling CDEs very, very well. I don't know more about that later.
[24:50.600 --> 24:55.840]  So basically, they're handling this just as well as any other distribution does. Maybe
[24:55.840 --> 24:59.400]  even better in some cases, because they're narrow in scope. They've actually got less
[24:59.400 --> 25:07.560]  work to do themselves than a full-blown distribution with tens of thousands of packages.
[25:07.560 --> 25:12.000]  So you've got your runtimes and you've got your Flatpak application on top of that. But
[25:12.000 --> 25:15.040]  what about the Flatpak client? Especially if you think about what I was just talking
[25:15.040 --> 25:20.440]  about with Snap earlier, with all of the issues with app armor and custom patches and what
[25:20.440 --> 25:27.720]  have you. Well, as a distribution guy, getting Flatpak in my distribution is really not that
[25:27.720 --> 25:33.000]  hard at all. You need to have the client on that. But you're not having to worry about
[25:33.000 --> 25:37.360]  a huge chain of dependencies and a whole bunch of plumbing to get it running. I don't need
[25:37.360 --> 25:43.440]  to have fuse to on my distro. All I need to have is bubble wrap, OS tree, and a couple
[25:43.440 --> 25:49.040]  of XTG packages. And they themselves don't really pull that much in as well. So it's
[25:49.040 --> 25:54.480]  small, it's simple, it's relatively easy, self-contained. Doesn't cause me huge build
[25:54.480 --> 25:59.560]  chains when I have to rebuild the whole thing in tumbleweed. It's a really nice ecosystem
[25:59.560 --> 26:08.000]  to just plop on top of my distro and then all of the applications come from Flatpak.
[26:08.000 --> 26:14.040]  From a licensing perspective, all the Flatpaks on FlatHub are checked. They all have to have
[26:14.040 --> 26:22.160]  some kind of license that allows open redistribution or legal redistribution. Or they do also support
[26:22.160 --> 26:29.080]  proprietary stuff. You can get a Spotify Flatpak. But obviously, you can't have the source code
[26:29.080 --> 26:37.800]  for the Spotify binary in their Git tree. So all of the proprietary stuff has to be pulled
[26:37.800 --> 26:46.200]  through by discrete declared links. And the Flatpak, specifically the FlatHub team, are
[26:46.200 --> 26:51.880]  checking that, verifying that things aren't changing there, not letting nasty things happen
[26:51.880 --> 26:58.240]  and binaries flip around. So at the very least, you may not know exactly what horrible thing
[26:58.240 --> 27:04.040]  is in this sandbox, but it's sandboxed. It's not much of a threat to your machine anyway.
[27:04.040 --> 27:07.040]  And you know it's the one that was sent at the submission time. You know it was the one
[27:07.040 --> 27:11.240]  that was reviewed. You know it isn't changing unexpectedly. So basically, it's as good
[27:11.240 --> 27:18.080]  or as better as any other distribution out there with their native packages. When it
[27:18.080 --> 27:24.400]  comes to maintenance, basically the same story. You know, just like open SUSE, FlatHub doesn't
[27:24.400 --> 27:29.120]  like Flatpaks to have distro-specific packages or Flatpak-specific packages. You know, they
[27:29.120 --> 27:36.040]  want everything upstream as possible. They have an incredibly robust build, test, publish
[27:36.040 --> 27:41.120]  workflow. They're not using OBS, I wish there was. They're not using OpenQA, I wish there
[27:41.120 --> 27:46.720]  were. But you know, what they're using is just as good, maybe in some way that's better.
[27:46.720 --> 27:50.280]  They can actually like give everyone nice test channels for testing their application,
[27:50.280 --> 27:56.480]  which I really think I want to copy sometime. But yeah, it's maintained. It's easy there,
[27:56.480 --> 28:01.320]  you know, easy for maintainers to keep their app maintained, and that is all ticking over
[28:01.320 --> 28:09.080]  nicely. From a security point of view, well, Flatpak is the only one that works everywhere.
[28:09.080 --> 28:15.400]  It's the only one that those applications are sandboxed. The portal concept where, you
[28:15.400 --> 28:22.120]  know, basically holes are pegged through the sandbox to give you things like access to
[28:22.120 --> 28:26.240]  the file picker and other parts of the file system, and the like, you know, has proven
[28:26.240 --> 28:31.360]  to be secure enough and, you know, expandable enough, you know, it's not great, it's not
[28:31.360 --> 28:35.480]  perfect, nothing ever is. But it's doing the job, and it's doing the job well, and these
[28:35.480 --> 28:43.640]  applications are working very well. And Flatpak CVEs, you know, happen very, very rarely.
[28:43.640 --> 28:47.240]  And when they do happen, they're not these terrifying, scary things, because the thing
[28:47.240 --> 28:52.840]  is architected very, very well. So, you know, the last CVE that I could find was in February
[28:52.840 --> 28:56.920]  2002, you know, it was a medium score, it was fixed incredibly quickly, I think every
[28:56.920 --> 29:01.800]  distribution had no problem adding that, because, again, like I mentioned earlier, given the
[29:01.800 --> 29:06.800]  client is very well structured, you know, you don't have a huge dependency chain, even
[29:06.800 --> 29:12.880]  the most ancient of LTSS distros can then just happily get the patch in, get the thing
[29:12.880 --> 29:20.640]  running. So, when I started the microS desktop, I adopted Flatpak, some Flab, actually November
[29:20.640 --> 29:24.520]  2017, so if you put the timeline in that, you know, I did change my opinion quite a bit
[29:24.520 --> 29:30.240]  from the beginning of February 2017 to the end. But I was using Flatpak as it was the
[29:30.240 --> 29:36.640]  one that I could work with, you know, I couldn't use Snap, couldn't use App Image. And I didn't
[29:36.640 --> 29:40.640]  trust it that much at the time, you know, I was thinking like you've seen with other
[29:40.640 --> 29:45.400]  distributions of building my own Flatpaks and using them rather than trusting Flatup,
[29:45.400 --> 29:48.760]  or doing like Fedora does with, you know, they build their own and then they also give
