[00:00.000 --> 00:02.060]  you
[14:52.200 --> 14:58.240]  However if we have a reference to this function then it's a bit trickier because that reference
[14:58.240 --> 15:13.640]  will not be updated say we have say equals module.sayhello when we call say we will still
[15:13.640 --> 15:16.160]  be calling this function.
[15:16.160 --> 15:28.800]  Now let's update the source code and reload the code module.sayhello has the new version
[15:28.800 --> 15:32.200]  however say is still using the old version.
[15:32.200 --> 15:37.480]  So now we have one version that doesn't exist on the file system anymore the previous version
[15:37.480 --> 15:42.000]  but it's still in memory it's still loaded and this is something we have to take care
[15:42.000 --> 15:49.600]  about to be careful about when we're doing hot code reloading.
[15:49.600 --> 15:56.920]  In practice however sometimes we are facing code that's not optimal for the reloading
[15:56.920 --> 15:58.760]  that we were just seeing.
[15:58.760 --> 16:03.880]  For example here we have a connection to a database that's initialized as a singleton
[16:03.880 --> 16:10.880]  and this is a pattern we see in a lot of code where that connection is created just within
[16:10.880 --> 16:14.480]  the module and so it's executed every time we import it.
[16:14.480 --> 16:22.400]  So the first time we import our module it will take some time to initialize it.
[16:22.400 --> 16:35.280]  We can now call our function say hello let's say we want to update the code of our function
[16:35.280 --> 16:45.360]  we need to reload it so we can use importlib.reload module 2 and again we have to pay the cost
[16:45.360 --> 16:51.240]  of the time to establish this connection and now we have the new value working.
[16:51.240 --> 17:00.200]  So in this case this use of importlib.reload can be quite painful here we are just facing
[17:00.200 --> 17:05.640]  a delay but sometimes there are also thresholds, limits, there are ports that are still appearing
[17:05.640 --> 17:12.920]  as busy, there are other issues that we can face that make this approach more difficult.
[17:12.920 --> 17:18.280]  If you can use it it's really nice because it's really simple it's all built-in in Python
[17:18.280 --> 17:25.520]  and it's just one line so go for it but it's not always optimal in some kind of complex
[17:25.520 --> 17:29.440]  software.
[17:29.440 --> 17:35.960]  There is however another approach we can use to reload this function say hello without
[17:35.960 --> 17:44.400]  going through the reloading of the database and this is the idea here is to go get the
[17:44.400 --> 17:50.880]  new value of the source code and then to execute that using the function exec.
[17:50.880 --> 17:55.520]  So for the first step we need to get access to the source code of a function and there
[17:55.520 --> 18:03.680]  is a tool for that in Python in the library inspect so I will just import inspect and
[18:03.680 --> 18:12.800]  then I can use inspect.getSource of module 2.sayHello.
[18:12.800 --> 18:17.480]  I have the source code of the function and the really cool thing here is that if I do
[18:17.480 --> 18:26.960]  add some code for example I add pass here and then I do a return here and let's do some
[18:26.960 --> 18:34.680]  more changes, let's do it, call it again and we can see here that this function gets source
[18:34.680 --> 18:40.720]  gets the new value of the code and not the old one so it's quite smart there which is
[18:40.720 --> 18:43.120]  really handy in our use case.
[18:43.120 --> 18:49.360]  So we now have the source code in a string and we could just try to execute it however
[18:49.360 --> 18:55.320]  if we want to replace it within the module so that other functions that depend on it
[18:55.320 --> 19:03.000]  would be able to access it we need to also give it access to things inside this module
[19:03.000 --> 19:09.400]  for example db if we execute this module here it will not have access to the db variable
[19:09.400 --> 19:11.720]  from that module.
[19:11.720 --> 19:19.280]  So what we need to do is use inspect to get access to the module of that function.
[19:19.280 --> 19:29.320]  So let's say module equals inspect.getModule of module 2.sayHello.
[19:29.320 --> 19:33.760]  In this case we know which module it is, it's module 2 so it will just get the same thing
[19:33.760 --> 19:41.080]  but sometimes we just have the function around and we don't know directly from which module
[19:41.080 --> 19:49.680]  it is so we can use this and then what we can do is create, we want to be able to extract
[19:49.680 --> 19:57.440]  the new value of the function so we'll create a local directory, I'll call it locals underscore
[19:57.440 --> 20:05.720]  equals dictionary sorry not directory and then I can just execute the source code so
[20:05.720 --> 20:23.080]  just copy this or copy the code here within the module that underscore and underscore addict
[20:23.080 --> 20:31.440]  which is a dictionary representing the namespace of what's within that module and my local
[20:31.440 --> 20:38.920]  dict here that I created just above.
[20:38.920 --> 20:51.680]  And now let's look at locals, we have say hello and if we compare it to module 2.sayHello
[20:51.680 --> 21:02.200]  you can see that they have the same identifier here and if I call one and call the other
[21:02.200 --> 21:24.400]  so this is the old one and this is the new one and the identifiers look similar but if
[21:24.400 --> 21:31.480]  we look here we can see they're not exactly the same so let's not be mistaken by the
[21:31.480 --> 21:41.720]  fact that they look really close now we can just finally update this function if you want
[21:41.720 --> 21:59.640]  so we can do module 2.sayHello equals locals.sayHello and finally module 2.sayHello call it and
[21:59.640 --> 22:07.800]  there we have this we just reloaded the function without reloading the connection to the database
[22:07.800 --> 22:13.960]  here.
[22:13.960 --> 22:20.120]  If you want to use hotcode reloading in your projects and you don't want to write yourself
[22:20.120 --> 22:26.480]  the methods to do it using the tools we have seen previously you can also use this library
[22:26.480 --> 22:33.520]  called reloader from reload their import auto reload and here in this case you just decorate
[22:33.520 --> 22:40.240]  your functions with this auto reload decorator and it will automatically replace them using
[22:40.240 --> 22:46.480]  the proxy method we've seen above and the instance reference to the class method with
[22:46.480 --> 22:52.440]  the new code when the code changes by watching the file system so this is a wrap up of all
[22:52.440 --> 22:55.320]  the methods we've seen previously.
[22:55.320 --> 23:00.400]  You can also manually specify when the code should be reloaded by changing the decorator
[23:00.400 --> 23:08.560]  in this case you can manually reload the class or you can start a timer that will just reload
[23:08.560 --> 23:18.560]  it every second or again look at the file system and as the file system changes trigger
[23:18.560 --> 23:22.800]  the reloading of this class.
[23:22.800 --> 23:29.680]  This on pypy so you can just install it using pip install reloader and try start using it.
[23:29.680 --> 23:34.200]  The source code is pretty simple it just fits in one file and then you have a directory with
[23:34.200 --> 23:38.320]  a few examples.
[23:38.320 --> 23:44.520]  Thanks for watching and join me in the question and answer matrix room for if you want to
[23:44.520 --> 23:50.640]  discuss any things you can find all the examples we've seen on this GitHub repository thank
[23:50.640 --> 24:09.880]  you.
[24:09.880 --> 24:16.400]  Thanks Hugo for your talk so I think we can now start with the questions.
[24:16.400 --> 24:21.200]  First question is how does reloading using execs behave in terms of compiling to intermediate
[24:21.200 --> 24:25.600]  forms like PyC and so on?
[24:25.600 --> 24:32.680]  So it's using, Python internally is using bytecode so exec is a two steps process the
[24:32.680 --> 24:38.120]  first step is it will compile it to bytecode it will just not store that bytecode on disk
[24:38.120 --> 24:50.120]  and then it will execute that bytecode as like the rest of the bytecode.
[24:50.120 --> 24:55.400]  And are there examples of applications that use hotcode reloading?
[24:55.400 --> 25:06.360]  Usually it's a process that at least I use for development so it's not used that much
[25:06.360 --> 25:11.120]  in production because then it can cause a lot of issues but it's the hotcode reloading
[25:11.120 --> 25:16.000]  in general is used a lot by game developers because they're tweaking the dynamics of the
[25:16.000 --> 25:21.480]  game while playing it and restarting the entire game every time you make a change to some
[25:21.480 --> 25:26.600]  logic doesn't make sense in that case.
[25:26.600 --> 25:41.520]  And how do you deal with side effects like things like shared resources and so on?
[25:41.520 --> 25:51.400]  So the idea with hotcode reloading the way I presented it you keep these resources on
[25:51.400 --> 25:53.920]  so you keep the state you keep these resources.
[25:53.920 --> 25:59.360]  Of course if something changes outside of the scope of your changes then you may have
[25:59.360 --> 26:12.800]  compatibility issues and then you just have to accept it and restart the whole process.
[26:12.800 --> 26:34.280]  Okay any further questions from the chat?
[26:34.280 --> 26:35.800]  What are the dangers that remain?
[26:35.800 --> 26:40.480]  Could you fix them?
[26:40.480 --> 26:49.840]  Well I think Python itself is not designed for hotcode reloading and other languages
[26:49.840 --> 26:58.320]  have allowed this in a safer way so in order to make hotcode reloading easier in Python
[26:58.320 --> 27:04.200]  I think there will be some big changes within Python would be required.
[27:04.200 --> 27:11.000]  If you take the example of Erlang that's a language that's designed to allow hotcode reloading
[27:11.000 --> 27:16.000]  and it's used a lot in network equipment and it's a feature built in the language in the
[27:16.000 --> 27:17.000]  tooling.
[27:17.000 --> 27:24.280]  If you take the example of Java there is a rule you can reload a class as long as its
[27:24.280 --> 27:28.960]  interface does not change and your ID, your tooling will check that.
[27:28.960 --> 27:35.240]  In Python there are no such checks so at the moment there are no guarantees that the new
[27:35.240 --> 28:02.800]  version of the code would work with a high chance.
[28:02.800 --> 28:21.800]  Okay thank you.
[28:21.800 --> 28:41.560]  So, do you add decorators for reloading in your code base?
[28:41.560 --> 28:46.480]  Is there a best practice to ignore them at the moment running your code in production?
[28:46.480 --> 28:51.160]  I think it aligns with the other point that's adding decorators just for the sake of reloading
[28:51.160 --> 28:55.760]  for half an hour doesn't make sense.
[28:55.760 --> 29:00.640]  It's a trade-off.
[29:00.640 --> 29:06.840]  I use decorators because that allows me to know exactly what is being hot reloaded and
[29:06.840 --> 29:09.040]  what is not.
[29:09.040 --> 29:13.200]  And also as a way to work with the references.
[29:13.200 --> 29:18.800]  Another strategy I thought about was to try to replace in memory all the references to
[29:18.800 --> 29:22.240]  the function with the new one within Python.
[29:22.240 --> 29:47.200]  And that requires much lower access to the internals of Python.
