[00:00.000 --> 00:19.920]  We're starting.
[08:14.520 --> 08:19.800]  a mark bit associated with every object, possibly an object's header, possibly an aside table.
[08:19.800 --> 08:25.560]  But as you mark them, you also mark lines, the lines that they're on, using address math.
[08:25.560 --> 08:30.480]  Typically the way this is invented is all these blocks are allocated as part of a line
[08:30.480 --> 08:37.240]  2 megabyte slabs, basically, and you can use address arithmetic to get to the aside table
[08:37.240 --> 08:41.760]  of mark bytes for the line.
[08:41.760 --> 08:49.200]  When you sweep, you do, at the end of collection, there is an eager sweep over all of the line
[08:49.200 --> 08:54.800]  mark bytes, so the contiguous array of mark bytes for lines, to identify which blocks
[08:54.800 --> 08:59.960]  are full, which are completely empty, and which are recycled, containing some old data,
[08:59.960 --> 09:04.160]  and those you would bump pointer allocate into the holes.
[09:04.160 --> 09:11.040]  The cool thing about it is that IMIX does opportunistic evacuation, so it's not simply
[09:11.040 --> 09:12.960]  leaving these objects in place.
[09:12.960 --> 09:17.640]  If it determines that your system needs to be defragmented, then it can choose some set
[09:17.640 --> 09:22.120]  of blocks to evacuate, and choose some other set of blocks which are already empty to be
[09:22.120 --> 09:23.800]  evacuation targets.
[09:23.800 --> 09:27.840]  So it's still a one-pass algorithm over the heap, but instead of marking objects in place,
[09:27.840 --> 09:30.800]  it tries to put them into an empty block.
[09:30.800 --> 09:35.760]  And if you do this a couple of times, you'll completely defragment the heap.
[09:35.760 --> 09:42.880]  And it can fail because parallel markers, and ordering, and alignment issues, and that's
[09:42.880 --> 09:46.240]  okay if the evacuation fails, you just mark in place.
[09:46.240 --> 09:51.400]  It's always okay to mark in place, and it's always okay to try to evacuate, evacuation
[09:51.400 --> 09:53.040]  may or may not succeed.
[09:53.040 --> 09:58.360]  So when I realize this, that you can mark in place or evacuate, this is something that
[09:58.360 --> 10:01.200]  is compatible with guile, right?
[10:01.200 --> 10:05.360]  We can do bump-point allocation now instead of allocating from free lists, which would
[10:05.360 --> 10:08.440]  improve throughput in guile programs.
[10:08.440 --> 10:16.920]  We can compact the heap, which is, I mean, I know there are many users here, and python-xyz.scm
[10:16.920 --> 10:21.080]  is one of the files you have, yes.
[10:21.080 --> 10:22.280]  I say no more.
[10:22.280 --> 10:28.600]  So I started a year on this, on this work-in-progress whip GC implementation, hence where the name
[10:28.600 --> 10:29.600]  comes from.
[10:29.600 --> 10:31.080]  There are a couple of differences from IMEX.
[10:31.080 --> 10:38.000]  IMEX has these 128-byte lines, and if just one object on a line is left over, then the
[10:38.000 --> 10:40.760]  line is kept live, right?
[10:40.760 --> 10:46.800]  In the next collection, nobody will allocate, nobody will put an object in that line.
[10:46.800 --> 10:49.600]  It's not a hole, basically.
[10:49.600 --> 10:55.920]  And for various reasons, I didn't make sense to me, so instead in Whippet, we have 16-byte
[10:55.920 --> 11:01.440]  lines, so effectively the line mark table is the object mark table.
[11:01.440 --> 11:09.040]  You only have one mark byte, it's a byte because of parallel markers, and it's a bit more
[11:09.040 --> 11:13.960]  overhead in terms of space, but maybe it's a bit more parsimonious with memory, we'll
[11:13.960 --> 11:14.960]  see how it works out.
[11:14.960 --> 11:17.400]  It's an open question here.
[11:17.400 --> 11:22.960]  And additionally, with these line mark bytes being more fine-grained, it's a lose to do
[11:22.960 --> 11:27.320]  an eager sweep over the heap, so we do lazy sweeping, so as you allocate, you just sweep
[11:27.320 --> 11:31.200]  one block, and then sweep another block, and then sweep another block, like that.
[11:31.200 --> 11:34.360]  And the good thing about that is that it parallelizes things.
[11:34.360 --> 11:37.800]  The bad thing is that you don't know how much data was live at the previous collection right
[11:37.800 --> 11:40.240]  after your collection, because you haven't swept yet.
[11:40.240 --> 11:42.920]  Yeah, okay.
[11:42.920 --> 11:48.480]  So some comparisons with Whippet compared to the Bohm collector, and there are a number
[11:48.480 --> 11:49.920]  of different points here.
[11:49.920 --> 11:51.840]  So one of them is you can move values.
[11:51.840 --> 11:59.080]  If every edge in your graph is potentially conservative, then you can't move anything,
[11:59.080 --> 12:05.520]  because you could find an edge that keeps an object live and doesn't allow moving late
[12:05.520 --> 12:07.280]  in the trace.
[12:07.280 --> 12:11.000]  But if you can partition your edges into a set that's conservative and a set that's not
[12:11.000 --> 12:15.120]  conservative, a set that's precise, you do the conservative ones first, and any object
[12:15.120 --> 12:18.480]  which isn't reached in that conservative trace is then movable.
[12:18.480 --> 12:22.480]  So what happens is you mark the stack first, and you mark in place, you don't evacuate.
[12:22.480 --> 12:26.280]  That is an implicit pin on every object that you mark.
[12:26.280 --> 12:28.880]  And then you go and you mark the heap, and if you find another object there, you can
[12:28.880 --> 12:32.800]  evacuate at that point.
[12:32.800 --> 12:38.600]  And then in Whippet, if we see that the heap is fragmented, we can turn evacuation on,
[12:38.600 --> 12:41.560]  and if we don't, if we see the heap is not fragmented, we can always mark in place and
[12:41.560 --> 12:47.800]  not incur the overhead of copying.
[12:47.800 --> 12:51.360]  There is also explicit pinning for various reasons.
[12:51.360 --> 12:59.000]  We can shrink the heap, which is nice, because these blocks are multiples of the OS page size,
[12:59.000 --> 13:03.600]  they're easy to return to the OS whenever we find that a block is empty, and you can
[13:03.600 --> 13:08.880]  just mark it as being empty, and MAdvise, MAV don't need it, and if you ever need it
[13:08.880 --> 13:13.640]  again, you can pull it right back in, it's zeroed by the OS.
[13:13.640 --> 13:20.080]  And additionally, there's a possibility to use adaptive heap sizing techniques, such
[13:20.080 --> 13:27.200]  as the one that I link here, it's an online algorithm that depends on what's your current
[13:27.200 --> 13:29.680]  cost of GC and how fast are you allocating.
[13:29.680 --> 13:34.440]  So a process which sort of stops and goes quiet, gets its memory slowly reduced to the
[13:34.440 --> 13:35.440]  minimum.
[13:35.440 --> 13:37.040]  You can fit more on a system.
[13:37.040 --> 13:42.840]  And we can also do a generational collection, if we want to, using the sticky mark-byte
[13:42.840 --> 13:48.120]  algorithm, which I link to here, it's described more in that post.
[13:48.120 --> 13:52.880]  For some programs, it doesn't make a difference, because some data isn't very generation friendly.
[13:52.880 --> 13:59.040]  This is the case of the first empty GC bench pair over there, where the first bar is Whippet
[13:59.040 --> 14:02.080]  without generational collection, and the second is with.
[14:02.080 --> 14:07.440]  But in some cases, it's very effective, like in this, I'm making a bunch of quad trees,
[14:07.440 --> 14:12.960]  and it pretty much doubles the throughput of the system.
[14:12.960 --> 14:18.200]  Additionally, with Whippet, we scale a lot better for multiple allocator threads.
[14:18.200 --> 14:23.320]  In BDW, you have these size segregated free lists, the free lists of size two, three,
[14:23.320 --> 14:28.160]  four, and that sort of thing, and you need to lock the heap to sweep and find more and
[14:28.160 --> 14:29.720]  fill those free lists.
[14:29.720 --> 14:36.120]  In Whippet, you use uncontended atomic ops to obtain the next block, just basically incrementing
[14:36.120 --> 14:43.320]  a counter, because the blocks are contiguous in these two megabyte slabs, and you sweep
[14:43.320 --> 14:44.480]  without contention.
[14:44.480 --> 14:49.800]  So these are two graphs showing the time it takes as problem size increases and number
[14:49.800 --> 14:51.360]  of mutator threads increases.
[14:51.360 --> 14:58.120]  So at each step, I'm adding on an additional mutator, an additional thread, doing the same
[14:58.120 --> 14:59.120]  amount of work.
[14:59.120 --> 15:04.280]  So with two mutator threads, the heap is twice as big as it was with one, and with eight,
[15:04.280 --> 15:06.160]  it's eight times as big as it was with one.
[15:06.160 --> 15:07.960]  So we do expect to see some increase.
[15:07.960 --> 15:16.680]  What we see is that BDW takes more time, ultimately, like it's at nine seconds with an eight thread
[15:16.680 --> 15:21.760]  mutator, whereas we're only at three and a half with Whippet, it scales much better when
[15:21.760 --> 15:22.760]  you're adding allocators.
[15:22.760 --> 15:27.440]  And this is with a single marker thread, so we expect to see some increase as the problem
[15:27.440 --> 15:30.280]  size gets larger.
[15:30.280 --> 15:32.520]  This is, what do you call that?
[15:32.520 --> 15:36.640]  It's like when you make a quilt, apparently you're supposed to put a part in it that's
[15:36.640 --> 15:41.160]  incorrect because you don't want to show too much pride in the face of God, right?
[15:41.160 --> 15:43.480]  It's like a touch of the hand sort of thing.
[15:43.480 --> 15:49.000]  This is my humility slide showing Whippet being slower than BDWGC on this one machine.
[15:49.000 --> 15:52.480]  I have no idea what's going on with this because I remeasure it on my other machine.
[15:52.480 --> 15:53.720]  It looks much better.
[15:53.720 --> 15:58.480]  But it does point that as you add on marker threads, things improve, although I don't
[15:58.480 --> 16:03.320]  understand the relative BDW Whippet thing right there, so that's a question.
[16:03.320 --> 16:09.440]  So with the heap, with twice as much memory as the problem takes, as we add markers, things
[16:09.440 --> 16:15.480]  get better for both BDW and Whippet, but a little bit better for Whippet.
[16:15.480 --> 16:17.200]  So ephemerons.
[16:17.200 --> 16:21.600]  This is weak maps like you have in JavaScript where you have keys associated with value,
[16:21.600 --> 16:23.800]  but what if value references key?
[16:23.800 --> 16:26.840]  Can you have a circular reference?
[16:26.840 --> 16:30.080]  Could the weak reference, does it leak memory?
[16:30.080 --> 16:31.080]  I don't know.
[16:31.080 --> 16:33.560]  You people have heard about ephemerons, I would imagine.
[16:33.560 --> 16:35.960]  You cannot do them in the boom collector.
[16:35.960 --> 16:37.600]  It's impossible, right?
[16:37.600 --> 16:41.400]  I've tried a lot and thought about this, but with Whippet we have them.
[16:41.400 --> 16:45.920]  You really need deep GC integration to implement ephemerons.
[16:45.920 --> 16:47.600]  Right and precision.
[16:47.600 --> 16:50.000]  So with BDW, you're always stack conservative.
[16:50.000 --> 16:57.400]  You're always scanning the heap, the stack for smelly pointers, right, or smelly integers,
[16:57.400 --> 17:00.120]  integers that could point to the heap.
[17:00.120 --> 17:05.880]  And it's often configured in such a way that every edge on the heap also is conservative.
[17:05.880 --> 17:08.920]  And with Whippet we can configure it in a number of different ways.
[17:08.920 --> 17:14.960]  And probably we're heading down the mid-near term is this conservative scan of the C stack,
[17:14.960 --> 17:19.640]  precise scan of the scheme stack, and a precise scan of the heap.
[17:19.640 --> 17:23.360]  So we will be able to get the advantages of motion and compaction and all that.
[17:23.360 --> 17:27.600]  But we could move to a fully precise stack as well.
[17:27.600 --> 17:29.120]  And potentially things to get better.
[17:29.120 --> 17:30.680]  BDW GC is terrible to hack on.
[17:30.680 --> 17:35.680]  I just counted it's like 15 or 16% CP processor directives.
[17:35.680 --> 17:39.360]  You can imagine it's probably 90% of the code is covered by if thefts.
[17:39.360 --> 17:41.640]  It's really, really hard.
[17:41.640 --> 17:42.640]  Right.
[17:42.640 --> 17:51.680]  So some more words about how it is that we are, we are, that royal we, right, okay.
[17:51.680 --> 17:57.400]  Working on getting Whippet implemented in such a way that it could land in Guile and
[17:57.400 --> 18:05.600]  not break the world because I'm going to make a confession.
[18:05.600 --> 18:11.960]  I don't maintain software, I develop software, and I throw it over the wallet, I forget about
[18:11.960 --> 18:12.960]  it.
[18:12.960 --> 18:16.600]  So if I'm going to get bugs in the garbage collector, that's not, I better not start
[18:16.600 --> 18:21.800]  because, you know, I'm not going to fix them.
[18:21.800 --> 18:30.400]  So the repositories here, it is designed to be an embed only library, kind of like an
[18:30.400 --> 18:34.720]  include style library, but you actually do separate compilation.
[18:34.720 --> 18:39.040]  But it's something that you include in your source tree because it needs to be specialized
[18:39.040 --> 18:41.800]  with respect to the program that's using it.
[18:41.800 --> 18:47.720]  In the case of Guile, Guile will tell Whippet how to put a forwarding pointer in an object,
[18:47.720 --> 18:52.800]  for example, how to do a precise trace of the heap.
[18:52.800 --> 18:57.400]  And then we also specify Whippet with respect to the domain.
[18:57.400 --> 19:04.000]  So what should we scan conservatively, what should we scan precisely, that sort of thing.
[19:04.000 --> 19:12.040]  There is, we use LTO, and it appears to remove the overhead of the separate compilation,
[19:12.040 --> 19:14.560]  link time optimization.
[19:14.560 --> 19:20.480]  I'm actually suspecting LTO for that other graph that I showed you.
[19:20.480 --> 19:25.960]  So we actually managed to get performance and abstraction at the same time by being
[19:25.960 --> 19:26.960]  inspired by MMTK.
[19:26.960 --> 19:31.360]  MMTK is a memory management toolkit, it's fantastic.
[19:31.360 --> 19:36.980]  It's a library of garbage collectors and technique and experience and knowledge, currently
[19:36.980 --> 19:46.240]  written in Rust, formerly part of the Jyx research JVM, but now retargeting to open
[19:46.240 --> 19:48.960]  JDK and V8 and a number of other systems.
[19:48.960 --> 19:53.320]  We could actually slot this into Guile if we wanted to at some point.
[19:53.320 --> 19:58.960]  But we have enough information exposed in the API to allow a JIT to use that exposed
[19:58.960 --> 20:05.400]  information and generate machine code for the fast path for allocation, for example.
[20:05.400 --> 20:10.320]  And by having like a real abstract barrier between the two sides, we allow both sides
[20:10.320 --> 20:14.720]  to evolve at their own pace.
[20:14.720 --> 20:17.920]  And when we think about migrating Guile to Whippet, which is kind of where I want to
[20:17.920 --> 20:25.000]  go here, I know in the talk description it kind of oversold the item, right, it's like
[20:25.000 --> 20:29.320]  now we have a new production garbage collector in Guile, it's not there yet.
[20:29.320 --> 20:33.640]  So this abstract API can be implemented by the current garbage collector being used by
[20:33.640 --> 20:36.920]  Guile, by the Bohm collector, by the BDW collector.
[20:36.920 --> 20:40.880]  And so that's going to be the first step, is to switch Guile over to use the new API
[20:40.880 --> 20:43.480]  but still use the old collector implementation.
[20:43.480 --> 20:47.320]  And then we can look at switching to Whippet, but that wouldn't require any code changes
[20:47.320 --> 20:51.480]  ideally in Guile.
[20:51.480 --> 20:56.320]  I mean, so you have the Whippet API, but then you have the Whippet garbage implementation
[20:56.320 --> 20:58.000]  algorithm that we were talking about.
[20:58.000 --> 21:02.760]  There are a lot of variants on the algorithm in Sonali that you can, these are different
[21:02.760 --> 21:07.920]  ways you can configure Whippet on two different tests, one there's MTGC bench, one there's
[21:07.920 --> 21:09.320]  quads here.
[21:09.320 --> 21:17.120]  And going across we can first see serial Whippet, one marker, one marking thread, it's not going
[21:17.120 --> 21:18.440]  to be parallel marking.
[21:18.440 --> 21:21.680]  That's the first light blue bar on both of those sides.
[21:21.680 --> 21:27.960]  And then we have parallel Whippet, four markers in this case is what I was measuring.
[21:27.960 --> 21:33.120]  It improves things in some cases, a little bit in other cases, minor improvements.
[21:33.120 --> 21:38.800]  Generational Whippet, collect more recently allocated objects more frequently than older
[21:38.800 --> 21:39.960]  objects.
[21:39.960 --> 21:43.080]  Parallel generational Whippet, four markers and generational.
[21:43.080 --> 21:47.720]  And then after that there's four more bars which are the same thing, but collecting stack
[21:47.720 --> 21:50.440]  routes conservatively.
[21:50.440 --> 21:54.720]  The previous one is a precise scan of the stack, the previous four bars and then the
[21:54.720 --> 22:01.320]  next four bars are conservative scan and as you'll note it actually performs better.
[22:01.320 --> 22:07.180]  And there are two reasons for this, one conservative scanning can actually reduce the lifetime
[22:07.180 --> 22:12.880]  of objects if the compiler determines that an object isn't needed at any given point
[22:12.880 --> 22:18.160]  it can reuse its register or stack slot or what have you, whereas you have to wait for
[22:18.160 --> 22:24.040]  the unregister part of a registration, deregistration API if you're using precise routes.
[22:24.040 --> 22:29.880]  And the other thing is that when using this API from C, I don't actually have cooperation
[22:29.880 --> 22:34.480]  from the compiler where it's going to write out a table of where all the values are.
[22:34.480 --> 22:38.400]  I have to explicitly say, and now remember this one, okay, now forget it.
[22:38.400 --> 22:40.080]  And now remember this one, and now forget it.
[22:40.080 --> 22:41.360]  And that's overhead, right?
[22:41.360 --> 22:46.400]  And by doing a conservative scan, I remove that overhead.
[22:46.400 --> 22:48.800]  And then the final two bars, I didn't include generational because it doesn't really make
[22:48.800 --> 22:53.120]  sense in this context as a fully heap conservative scan.
[22:53.120 --> 22:57.600]  We increase a lot on this empty GC benchmark because it allocates a very big array and
[22:57.600 --> 23:03.560]  I don't have the equivalent of point on this allocation that the BDW API gives you.
[23:03.560 --> 23:07.120]  So we end up tracing all the elements of that really big array, which gives a big spike
[23:07.120 --> 23:08.360]  over there.
[23:08.360 --> 23:11.760]  And in the case of quads, we never have large objects, we're always tracing everything anyway
[23:11.760 --> 23:13.440]  and it doesn't really matter.
[23:13.440 --> 23:17.360]  But heap conservative does slow you down relative to just having stack conservative.
[23:17.360 --> 23:18.360]  Right.
[23:18.360 --> 23:26.840]  And then as a project, it's written in C, which I know is a sin, but Guile has this sort of
[23:26.840 --> 23:31.840]  odd place in the supply chain of geeks and it's useful to depend on a more minimal set
[23:31.840 --> 23:34.360]  of things rather than using Rust, for example.
[23:34.360 --> 23:41.840]  But it's a relatively modern C, uses stethatomic, uses things in a way that are constexpr-ish
[23:41.840 --> 23:46.000]  in a way that you know that the compiler is going to reduce them down.
[23:46.000 --> 23:51.640]  It avoids void pointers completely, using instead structs containing a single number,
[23:51.640 --> 23:55.760]  which gets boiled away by the compiler as well, which can't be cast to each other, you need
[23:55.760 --> 23:59.720]  explicit conversions, that way you won't confuse a conservative reference with a precise reference
[23:59.720 --> 24:01.360]  and things like that.
[24:01.360 --> 24:05.760]  And we don't actually have any API or API concern at all because it's an embedded-only
[24:05.760 --> 24:06.760]  library.
[24:06.760 --> 24:11.320]  If something breaks, don't update it.
[24:11.320 --> 24:15.080]  And it does have a bit of an abstraction for how do you find conservative roots on whatever
[24:15.080 --> 24:16.560]  your platform is.
[24:16.560 --> 24:18.960]  It's not so bad, it turns out.
[24:18.960 --> 24:26.040]  So if we think about when it is that this might reach Guile, then we are, it's when
[24:26.040 --> 24:29.000]  we can, right, you know, in the end.
[24:29.000 --> 24:31.800]  This is kind of a side project for me.
[24:31.800 --> 24:41.400]  I have other side projects, children, you know, so I can't really give an ETA here,
[24:41.400 --> 24:47.720]  but I would mention that there are a few things to do, and what we might end up with is that
[24:47.720 --> 24:51.440]  we could get a new release series for Guile, which is I think is what would be required
[24:51.440 --> 24:57.320]  for this, maybe starting in six months or so, just switching over to the API and staying
[24:57.320 --> 25:02.480]  with the Balm Collector, and maybe we could release a new stable version in another six
[25:02.480 --> 25:06.120]  months or really a little bit more.
[25:06.120 --> 25:07.760]  But we'd have to do a few things for there.
[25:07.760 --> 25:14.200]  Wipit is done mostly with the exception of actually growing and shrinking the heap, implementing
[25:14.200 --> 25:22.560]  finalizers, and having an API for checking in with Wipit, checking in with the GC as
[25:22.560 --> 25:26.880]  to when a mutator should stop, because that's one other thing that the BDW Collector does
[25:26.880 --> 25:32.360]  is it uses signals to stop all the threads, whereas Wipit relies on periodic save points.
[25:32.360 --> 25:34.880]  There are trade-offs.
[25:34.880 --> 25:39.440]  In Guile we'd have to switch over to these save points, I think it's possible.
[25:39.440 --> 25:43.600]  And I think we would start with a heap conservative Wipit, just because it's the same thing that
[25:43.600 --> 25:52.120]  we do with the BDW Collector, and then we'd move over to a precise scan of the heap.
