[00:00.000 --> 00:17.320]  Awesome, thank you.
[09:35.560 --> 09:44.640]  and then system d-stub would just supersede the lancer-botar-stub and everyone is happy.
[09:44.640 --> 09:53.440]  No, the other, I said, awesome, the German is strong.
[09:53.440 --> 09:57.520]  So this is like the boot part of the whole secure boot tool chain, but then there's also
[09:57.520 --> 10:07.560]  like the nix part of it, big thing is the lancer-botar-tool, this is what is being called when you call
[10:07.560 --> 10:15.560]  nixOS rebuild and what it basically does is it takes all the different generations you
[10:15.560 --> 10:26.560]  have in your nixOS and assembles the lancer-botar-stubs and prepares the boot partition and signs
[10:26.560 --> 10:27.560]  everything.
[10:27.560 --> 10:35.560]  This is pretty involved due to non-reproducibility of kernel, so it's a bit tricky at times
[10:35.560 --> 10:42.080]  and we had some issues with that, but I think we're basically down to some polishing at
[10:42.080 --> 10:45.880]  this point to get this right.
[10:45.880 --> 10:53.480]  So we also depend on the boot spec RFC, which is at the moment an experimental feature in
[10:53.480 --> 11:00.000]  nix packages in nixOS where for each generation you get a nice JSON file describing which
[11:00.000 --> 11:04.760]  kernel which init-rd you want to boot and then the bootloader-tooling can just take
[11:04.760 --> 11:07.520]  the JSON and do whatever it needs to do.
[11:07.520 --> 11:11.680]  So this has been also pretty nice.
[11:11.680 --> 11:16.680]  Yeah, how to use this?
[11:16.680 --> 11:24.280]  As I said you have to do some manual step to onboard, we've tried to document them as
[11:24.280 --> 11:27.000]  user-friendly as possible given the topic.
[11:27.000 --> 11:32.520]  You are expected to be able to use nixOS, you are expected to be able to restore your
[11:32.520 --> 11:38.520]  system from a backup if everything goes wrong, but other than that you should be able to
[11:38.520 --> 11:42.080]  set this up if you want to.
[11:42.080 --> 11:46.720]  Of course if you want this to be an actual security feature then you may want to come
[11:46.720 --> 11:50.760]  back later, but if you really, really want to use it as a security feature you definitely
[11:50.760 --> 11:56.520]  need a BIOS password otherwise someone can just turn secure boot off and then you also
[11:56.520 --> 12:00.760]  need full disk encryption because otherwise someone can just read the private keys from
[12:00.760 --> 12:05.520]  your disk.
[12:05.520 --> 12:14.280]  But that being said when it all works it's not much more than SPCTL create keys, enrolling
[12:14.280 --> 12:26.280]  them after going to the BIOS menu and some very benign nixOS configuration.
[12:26.280 --> 12:32.800]  Yeah, that's it, so I didn't want to go into too much technical things, you can ask me
[12:32.800 --> 12:40.520]  about stuff, otherwise you can use it today, so I have this running, so if I type device
[12:40.520 --> 12:53.360]  security then you don't see anything, then I have to exit this and you see that for me
[12:53.360 --> 12:58.520]  your boot is active.
[12:58.520 --> 13:05.560]  As far as collaboration goes, I have to find the button again, the discussion mostly happens
[13:05.560 --> 13:13.200]  on the GitHub repository, open issues, we respond reasonably fast, we're currently in
[13:13.200 --> 13:21.920]  the process of fixing all the bugs and I think when we're bug free we will just call
[13:21.920 --> 13:25.960]  it 1.0 and then afterwards there's like a million features that people want and they
[13:25.960 --> 13:30.120]  will all be very cool, but bugs need to be fixed.
[13:30.120 --> 13:34.680]  First, we discuss on matrix in the secure boot channel, there are a couple of other
[13:34.680 --> 13:39.920]  matrix, there are too many security related matrix channels, you just join all of them
[13:39.920 --> 13:44.720]  and then it's fine, there's one about boot spec then there's one about nixOS and TPMs
[13:44.720 --> 13:48.160]  that I forgot to put on the slide.
[13:48.160 --> 13:54.320]  Rust OS stuff has been helpful for the Rust UEFI development, there's a very nice community
[13:54.320 --> 14:02.800]  over there for Rust UEFI programming and you can also just ping me personally on matrix
[14:02.800 --> 14:10.640]  or on mastodon and it should also not be hard to find my Twitter handle somewhere.
[14:10.640 --> 14:23.520]  So that's it, I'm happy to take questions, oh so many.
[14:23.520 --> 14:39.160]  So what I personally find very nice is, the question was whether I can speculate on the
[14:39.160 --> 14:45.240]  cool features that are about to come and personally I find all the TPM stuff very exciting and
[14:45.240 --> 14:49.400]  the problem is mostly that the tooling is completely horrific and all the documentation
[14:49.400 --> 15:02.200]  and terminology is like, it's annoying on purpose, so I'm really eager to make this
[15:02.200 --> 15:09.000]  usable for people that don't want to know all the details about TPMs, so for example
[15:09.000 --> 15:14.920]  you want your disk encryption to be unlocked if your system has not been tempered with.
[15:14.920 --> 15:20.680]  This is like a, I mean not tempered with is a complicated thing to define so and usability
[15:20.680 --> 15:23.920]  aspects are hard, but this is something I would really want, so if my laptop is in
[15:23.920 --> 15:29.720]  good condition and my TPM believes everything is good then I don't want to type in my password
[15:29.720 --> 15:48.280]  again, yeah then the whole, the question is whether we have tested it with Corbut, no
[15:48.280 --> 16:05.240]  if you deploy Corbut with a UFI payload it should just work, I mean it worked for buggy
[16:05.240 --> 16:31.840]  UFI, we are compliant too I think, so if you use the Tianokou EDK2 on Corbut it should
[16:31.840 --> 16:56.360]  work because this is also what we use in QMU for testing.
[16:56.360 --> 17:01.960]  So using it without an encrypted disk, so first issue if you don't put a private key on it
[17:01.960 --> 17:08.080]  and do the signing some way, somehow else, which we don't support right now, you could
[17:08.080 --> 17:14.840]  at least avoid this problem, but then there's the issue if you don't have integrity protection
[17:14.840 --> 17:33.000]  for your disk, someone can just replace whatever's on your disk and boot some other kernel.
[17:33.000 --> 17:37.800]  So the thing is, so secure boot is like one aspect of a secure system and whenever we
[17:37.800 --> 17:43.720]  start to talk about it, someone comes and wants the whole flower bouquet, so what you
[17:43.720 --> 17:50.720]  say is it's definitely possible, but somewhat out of scope for the secure boot effort.
[17:50.720 --> 18:16.720]  Thank you very much for your time, thank you very much for your time, thank you very much.
